source	syllabary	pronunciation	definition
ced	ᎠᏕᎸᎢ	ạ³de²lv⁴ɂi	dollars
ced	ᎠᏕᏛᏍᎦ	a¹de²tṿ³sga	he's diving
ced	ᎠᏕᏲᎭ	a¹de³yọ²ha	1. he's going around a curve  2. he's turning off the road  3. he's circling it
ced	ᎠᏕᏲᎲᎢ	a¹de³yọ²hv⁴ɂi	curve
ced	ᎠᏗᎠ	a¹dị³ɂa	he's laying a long object down
ced	ᎠᏗᏗᎭ	a¹di²dị³ha	he's rising from a prone position
ced	ᎠᏗᎦᎴᏯᎠ	a¹di²gạ²le²³yạ³ɂa	he's scattering it
ced	ᎠᏗᎦᎴᏲᎦ	a¹di²gạ²le²³yo³²ga	it's scattering
ced	ᎠᏗᏆᎸᏕᏲᎭ	a¹di³gwạ²lv²de³yọ²ha	he, it's spinning, rotating
ced	ᎠᏗᎭ	a¹dị²ha	he's saying it
ced	ᎠᏗᏅᏗᎭ	a¹di²³nv³²dị²ha	he's running over him, it
ced	ᎠᏗᏍᎦᎸᏍᎦ	a¹di²sgạ²hlṿ³sga	he's hiding
ced	ᎠᏗᏏᏯᎠ	a¹di³²si²yạ³ɂa	he's leaving a long object behind
ced	ᎠᏗᏔᏍᏗ	ạ²di²³tạ²sdi	something to drink
ced	ᎠᏗᏔᏍᎦ	a¹di²tạ³sga	he's drinking it
ced	ᎠᏗᏙᏗ	ạ²di²toh³di	spoon
ced	ᎠᏜ	a²dla	1. rubber,  2. chewing gum
ced	ᎠᏜᎪᏍᎦ	a¹dlạ²go²³sga	he's scratching
ced	ᎠᏜᏩᏛᎢ	a²dlạwạɂ³dv⁴ɂi	pocket
ced	ᎠᏞᎠ	a¹dle³ɂa	he's turning off the road
ced	ᎠᏞᏤᎭ	a¹dle³chẹ²ha	he's taking revenge against him
ced	ᎠᏞᎢᏍᏗ	ạ²dle¹ɂị³sdi	revenge
ced	ᎠᏞᏌᏙ	ạ²dle¹sạ²do	apron
ced	ᎠᏞᏍᎬᎢ	a¹dle³sgv⁴ɂi	turn-off
