ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᎡᏣᎪᏗ|è:jakóhdi|e¹jạ²koh³di|For someone to have you (1)|ee1ja2koh3di
ᏗᎾᏓᎪᏩᏔ|dinada:gò:wahta|dị²nạ²da²go¹wah²ta|Let you (1) and me see each other|di2na2daa2goo1wah2ta
ᎡᏙᎵᎦ|è:do:lì:ga|e¹do²li¹ga|All of us recognize him|ee1doo2lii1ga
ᏙᎦᏓᎪᎲᎢ|dò:gada:go:hv̌:ɂi|do¹gạ²da²go²hv²³ɂi|They and I saw each other a while ago|doo1ga2daa2goo2hvv23-i
ᎠᎾᏓᎪᏩᏔ|à:nada:gò:wahtā|a¹nạ²da²go¹wah²ta²|They recently saw themselves|aa1naa2daa2goo1wah2ta2
ᏦᎩᎾᏓᏙᎵᏍᏗ|jò:ginada:do:hlísdi|jo¹gị²nạ²da²do²hlị³sdi|For him and me to be acquainted|joo1gi2na2daa2doo2hli3sdi
ᏗᎾᏚᎩ|dínatǔ:gi|dị³nạ²tu²³gi|Let you (1) and me drink alcoholic drinks|di3na2tuu23gi
ᎨᎩᎾᏚᎳ|ge:ginadǔ:lā|ge²gị²nạ²du²³la²|They recently wanted you (1) and me|gee2gi2na2duu23la2
ᎤᏂᎭ|ù:ni:ha|u¹ni²ha|They have something solid|uu1nii2ha
ᏗᎩᏘᏗ|dìgìtdi|dị¹gị¹tdi|For me to bake things|di1gi1tdi
ᏙᏍᏗᏰᎠ|dò:sdi:hyé:ɂa|do¹sdi²hye³ɂa|He and I are eating flexible things|doo1sdii2hyee3-a
ᎥᎩᎪᏗ|v̀:gikóhdi|v¹gị²koh³di|For someone to have me|vv1gi2koh3di
ᏗᏓᏓᎪᏩᏔ|didada:gò:wahta|dị²dạ²da²go¹wah²ta|Let all of us see each other|di2da2daa2goo1wah2ta
ᎡᏦᎵᎦ|è:jo:lì:ga|e¹jo²li¹ga|You all recognize him; You all are being recognized|ee1joo2lii1ga
ᏚᎾᏓᎪᎲᎢ|dù:nada:go:hv̌:ɂi|du¹nạ²da²go²hv²³ɂi|They saw each other a while ago|duu1na2daa2goo2hvv23-i
ᎣᏣᏓᎪᏩᏔ|ò:jada:gò:wahtā|o¹jạ²da²go¹wah²ta²|They and I recently saw ourselves|oo1ja2daa2goo1wah2ta2
ᏫᏓᏚᎩ|widatǔ:gi|wị²dạ²tu²³gi|Let him drink alcoholic drinks|wi2da2tuu23gi
ᎪᎩᎾᏚᎳ|go:ginadǔ:lā|go²gị²nạ²du²³la²|They recently wanted him and me|goo2gi2na2duu23la2
ᏕᎩᎭ|dé:gi:ha|de³gi²ha|All of us have solid things|dee3gii2ha
ᏗᏍᏓᏓᎪᏩᏔ|disdada:gò:wahta|dị²sdạ²da²go¹wah²ta|Let you both see each other|di2sdaa2daa2goo1wah2ta
ᎩᎾᏓᎪᎲᎢ|ginada:go:hv̌:ɂi|gị²nạ²da²go²hv²³ɂi|You (1) and I saw ourselves a while ago|gi2na2daa2goo2hvv23-i
ᏕᏥᎭ|dé:ji:ha|de³ji²ha|You all have solid things|dee3jii2ha
ᏫᏦᏣᏓᎪᏩᏔ|wijò:jada:gò:wahta|wị²jo¹jạ²da²go¹wah²ta|Let them and me see each other|wi2joo1ja2daa2goo1wah2ta
ᎨᏃᎵᎦ|ge:no:lì:ga|ge²no²li¹ga|You (1) and I recognize them (animate)|gee2noo2lii1ga
ᏕᏍᏓᏓᎪᎲᎢ|de:sdada:go:hv̌:ɂi|de²sdạ²da²go²hv²³ɂi|You both saw each other a while ago|dee2sdaa2daa2goo2hvv23-i
ᏙᎩᎭ|dò:gi:ha|do¹gi²ha|They and I have solid things|doo1gii2ha
ᎢᏤᎦ|ì:jé:ga|i¹je³ga|You all are going|ii1jee3ga
ᏫᏦᏍᏓᏓᎪᏩᏔ|wijò:sdada:gò:wahta|wị²jo¹sdạ²da²go¹wah²ta|Let him and me see each other|wi2joo1sda2daa2goo1wah2ta
ᎨᏙᎵᎦ|ge:do:lì:ga|ge²do²li¹ga|All of us recognize them (animate)|gee2doo2lii1ga
ᏕᎩᎾᏓᎪᎲᎢ|de:ginada:go:hv̌:ɂi|de²gị²nạ²da²go²hv²³ɂi|You (1) and I saw each other a while ago|dee2gi2na2daa2goo2hvv23-i
ᏚᏂᎭ|dù:ni:ha|du¹ni²ha|They have solid things|duu1nii2ha
ᏗᏣᏓᎪᏗ|dì:jada:kóhdi|di¹jạ²da²koh³di|For you all to have yourselves|dii1ja2daa2koh3di
ᎨᏦᎵᎦ|ge:jo:lì:ga|ge²jo²li¹ga|You all recognize them (animate)|gee2joo2lii1ga
ᏙᎩᎾᏓᎪᎲᎢ|dò:ginada:go:hv̌:ɂi|do¹gị²nạ²da²go²hv²³ɂi|He and I saw each other a while ago|doo1gi2na2daa2goo2hvv23-i
ᎩᏂᎭ|gini:ha|gị²ni²ha|You (1) and I have something solid|gi2nii2ha
ᎣᏍᏓᏓᎪᏩᏔ|ò:sdada:gò:wahtā|o¹sdạ²da²go¹wah²ta²|He and I recently saw ourselves|oo1sda2daa2goo1wah2ta2
ᏕᏍᏗᎭ|de:sdi:ha|de²sdi²ha|You both have solid things|dee2sdii2ha
ᎣᎩᏂᎭ|ò:gini:ha|o¹gị²ni²ha|He and I have something solid|oo1gi2nii2ha
ᏗᎦᏓᎪᏗ|digada:kóhdi|dị²gạ²da²koh³di|For all of us to have each other|di2ga2daa2koh3di
ᏕᎩᏂᎭ|de:gini:ha|de²gị²ni²ha|You (1) and I have solid things|dee2gi2nii2ha
ᏗᏣᏓᎪᏗ|dijada:kóhdi|dị²jạ²da²koh³di|For you all to have each other|di2ja2daa2koh3di
ᏙᎩᏂᎭ|dò:gini:ha|do¹gị²ni²ha|He and I have solid things|doo1gi2nii2ha
ᏕᎪᎵᎦ|de:go:lì:ga|de²go²li¹ga|I understand things|dee2goo2lii1ga
ᎡᏍᏙᎵᎦ|è:sdo:lì:ga|e¹sdo²li¹ga|You both recognize him; You both are being recognized|ee1sdoo2lii1ga
ᎨᏍᏙᎵᎦ|ge:sdo:lì:ga|ge²sdo²li¹ga|You both recognize them (animate); They recognize you both|gee2sdoo2lii1ga
ᎮᎾ|hè:na|he¹na|Let you (1) go|hee1na
ᎤᏥ|u:ji|u²ji|His mother|uu2ji
ᎤᎰᎢ|ù:hó:ɂi|u¹ho³ɂi|He usually has something solid|uu1hoo3-i
ᎡᎾ|è:nā|e¹na²|He recently went|ee1na2
ᏦᎵᎦ|johlga|johl²ga|He recognizes you (1)|johl2ga
ᎤᏓᎧᎭ|ù:da:káha|u¹da²kạ³ha|He has himself|uu1daa2ka3ha
ᏗᎾᏓᏙᎵᎩ|dinada:dohlgi|dị²nạ²da²dohl²gi|Let you (1) and me be acquainted|di2na2daa2dohl2gi
ᏓᏍᏗᎦ|dasdǐ:gā|dạ²sdi²³ga²|He recently ate rod shaped things|da2sdii23ga2
ᎠᎪᎵᎦ|à:go:lì:gā|a¹go²li¹ga²|He was recently recognized|aa1goo2lii1ga2
ᏓᏂᏟᏌ|dà:nì:hlǐ:sā|da¹ni¹hli²³sa²|They recently gathered things|daa1nii1hlii23sa2
ᏦᎦᏓᎪᏩᏛᏗ|jò:gada:gowhtv́hdi|jo¹gạ²da²gowh²tvh³di|For them and me to see each other|joo1ga2daa2gowh2tvh3di
ᏫᏗᎦᏚᎩ|widigaɂdǔ:gi|wị²dị²gạɂ²du²³gi|Let me drink alcoholic drinks|wi2di2ga-2duu23gi
ᏍᏕᎾ|sdè:na|sde¹na|Let you both go|sdee1na
ᏚᎰᎢ|du:hó:ɂi|du²ho³ɂi|He usually has solid things|duu2hoo3-i
ᎨᎾ|gè:nā|ge¹na²|I recently went|gee1na2
ᎨᏦᎵᎦ|ge:johlga|ge²johl²ga|They recognize you (1)|gee2johl2ga
ᏣᏓᎧᎭ|jada:káha|jạ²da²kạ³ha|You (1) have yourself|ja2daa2ka3ha
ᏗᏓᏓᏙᎵᎩ|didada:dohlgi|dị²dạ²da²dohl²gi|Let all of us be acquainted|di2da2daa2dohl2gi
ᏍᏆᏚᎳ|sgwadǔ:la|sgwạ²du²³la|Let you (1) want me|sgwa2duu23la
ᎡᎪᎵᎦ|è:go:lì:gā|e¹go²li¹ga²|All of us were recently recognized|ee1goo2lii1ga2
ᏕᏂᏟᏌ|dé:nì:hlǐ:sā|de³ni¹hli²³sa²|You (1) and I recently gathered things|dee3nii1hlii23sa2
ᏧᎾᏓᎪᏩᏛᏗ|jù:nada:gowhtv́hdi|ju¹nạ²da²gowh²tvh³di|For them to see each other|juu1na2daa2gowh2tvh3di
ᎢᏁᎾ|ì:nè:na|i¹ne¹na|Let you (1) and me go|ii1nee1na
ᎠᏁᎾ|à:nè:nā|a¹ne¹na²|They recently went|aa1nee1na2
ᎢᎬᏌ|ì:gv̌:sa|i¹gv²³sa|Ourselves, you all and I|ii1gvv23sa
ᎠᏆᏓᎧᎭ|à:gwada:káha|a¹gwạ²da²kạ³ha|I have myself|aa1gwaa2daa2ka3ha
ᏓᎾᏓᏙᎵᎦ|dà:nada:dohlga|da¹nạ²da²dohl²ga|They are acquainted|daa1naa2daa2dohl2ga
ᏫᏦᏣᏓᏙᎵᎩ|wijò:jada:dohlgi|wị²jo¹jạ²da²dohl²gi|Let them and me be acquainted|wi2joo1ja2daa2dohl2gi
ᎡᏃᎵᎦ|è:no:lì:gā|e¹no²li¹ga²|You (1) and I recently recognized him|ee1noo2lii1ga2
ᏕᏗᏟᏌ|dé:dì:hlǐ:sā|de³di¹hli²³sa²|All of us recently gathered things|dee3dii1hlii23sa2
ᏦᎦᏤᎵᎢ|jò:gaje:li̋:ɂi|jo¹gạ²je²li⁴ɂi|Our things, they and I|joo1gaa2jee2lii4-i
ᏗᏣᏚᎳ|dijadǔ:la|dị²jạ²du²³la|Let you (1) want them (inanimate); Let you all want them (inanimate)|di2ja2duu23la
ᏦᎩᎾᏓᎪᏩᏛᏗ|jò:ginada:gowhtv́hdi|jo¹gị²nạ²da²gowh²tvh³di|For him and me to see each other|joo1gi2na2daa2gowh2tvh3di
ᎢᏕᎾ|ì:dè:na|i¹de¹na|Let all of us go|ii1dee1na
ᎣᏤᎾ|ò:jè:nā|o¹je¹na²|They and I recently went|oo1jee1na2
ᎣᎬᏌ|ò:gv̌:sa|o¹gv²³sa|Ourselves, they and I|oo1gvv23sa
ᏕᎾᏓᏙᎵᎦ|dé:nada:dohlga|de³nạ²da²dohl²ga|You (1) and I are acquainted|dee3na2daa2dohl2ga
ᏫᏦᏍᏓᏓᏙᎵᎩ|wijò:sdada:dohlgi|wị²jo¹sdạ²da²dohl²gi|Let him and me be acquainted|wi2joo1sda2daa2dohl2gi
ᏘᏟᏌ|tìhlǐ:sa|tị¹hli²³sa|Let you (1) gather things|ti1hlii23sa
ᎡᏙᎵᎦ|è:do:lì:gā|e¹do²li¹ga²|All of us recently recognized him|ee1doo2lii1ga2
ᏙᏥᏟᏌ|dò:jì:hlǐ:sā|do¹ji¹hli²³sa²|They and I recently gathered things|doo1jii1hlii23sa2
ᏧᎾᏤᎵᎢ|jù:naje:li̋:ɂi|ju¹nạ²je²li⁴ɂi|Their things|juu1naa2jee2lii4-i
ᎩᎾᏓᏚᎳ|ginadadǔ:la|gị²nạ²dạ²du²³la|Let you (1) and me want ourselves|gi2na2da2duu23la
ᎢᏤᎾ|ì:jè:na|i¹je¹na|Let you all go|ii1jee1na
ᎤᏅᏌ|ù:nv̌:sa|u¹nv²³sa|Themselves|uu1nvv23sa
ᏕᎬᏯ|dé:gù:wâ:ya|de³gu¹wa³²ya|All of us have rod shaped things|dee3guu1waa32ya
ᎣᏍᏕᎾ|ò:sdè:nā|o¹sde¹na²|He and I recently went|oo1sdee1na2
ᏕᏓᏓᏙᎵᎦ|dé:dada:dohlga|de³dạ²da²dohl²ga|All of us are acquainted|dee3da2daa2dohl2ga
ᎡᏦᎵᏍᏗ|è:jo:hlísdi|e¹jo²hlị³sdi|For you (1) to be recognized|ee1joo2hli3sdi
ᏗᏍᏗᏟᏌ|disdì:hlǐ:sa|dị²sdi¹hli²³sa|Let you both gather things|di2sdii1hlii23sa
ᎡᏦᎵᎦ|è:jo:lì:gā|e¹jo²li¹ga²|You all recently recognized him; You all were recently recognized|ee1joo2lii1ga2
ᏙᏍᏗᏟᏌ|dò:sdì:hlǐ:sā|do¹sdi¹hli²³sa²|He and I recently gathered things|doo1sdii1hlii23sa2
ᏗᎦᏤᎵᎢ|digaje:li̋:ɂi|dị²gạ²je²li⁴ɂi|Our things, you all and I|di2gaa2jee2lii4-i
ᏗᎦᏓᏚᎳ|digadadǔ:la|dị²gạ²dạ²du²³la|Let all of us want each other|di2ga2da2duu23la
ᏕᏨᏯ|dé:jù:wâ:ya|de³ju¹wa³²ya|You all have rod shaped things|dee3juu1waa32ya
ᎩᏅᏌ|ginv̌:sa|gị²nv²³sa|Ourselves, you (1) and I|gi2nvv23sa
ᏕᎯᏰᎠ|de:hihyé:ɂa|de²hị²hye³ɂa|You (1) are eating flexible things|dee2hi2hyee3-a
ᏙᏣᏓᏙᎵᎦ|dò:jada:dohlga|do¹jạ²da²dohl²ga|They and I are acquainted|doo1ja2daa2dohl2ga
ᎬᏉᎵᏍᏗ|gv:gwo:hlísdi|gv²gwo²hlị³sdi|For them to recognize me|gvv2gwoo2hli3sdi
ᏗᏗᏟᏌ|didì:hlǐ:sa|dị²di¹hli²³sa|Let all of us gather things|di2dii1hlii23sa
ᏗᏆᏤᎵᎢ|dìgwaje:li̋:ɂi|dị¹gwạ²je²li⁴ɂi|My things|di1gwaa2jee2lii4-i
ᏫᏦᏣᏚᎩ|wijò:jatǔ:gi|wị²jo¹jạ²tu²³gi|Let them and me drink alcoholic drinks|wi2joo1ja2tuu23gi
ᏗᏍᏓᏓᏚᎳ|disdadadǔ:la|dị²sdạ²dạ²du²³la|Let you both want each other|di2sdaa2da2duu23la
ᎥᏆᏚᎳ|v̀:gwadǔ:lā|v¹gwạ²du²³la²|I was recently wanted|vv1gwa2duu23la2
ᎣᎩᏅᏌ|ò:ginv̌:sa|o¹gị²nv²³sa|Ourselves, he and I|oo1gi2nvv23sa
ᏙᏍᏓᏓᏙᎵᎦ|dò:sdada:dohlga|do¹sdạ²da²dohl²ga|He and I are acquainted|doo1sda2daa2dohl2ga
ᏗᏂᏟᏌ|dínì:hlǐ:sa|dị³ni¹hli²³sa|Let you (1) and me gather things|di3nii1hlii23sa
ᏗᎩᎾᏓᏙᎵᏍᏗ|diginada:do:hlísdi|dị²gị²nạ²da²do²hlị³sdi|For you (1) and me to be acquainted|di2gi2na2daa2doo2hli3sdi
ᎨᏃᎵᎦ|ge:no:lì:gā|ge²no²li¹ga²|You (1) and I recently recognized them (animate)|gee2noo2lii1ga2
ᏦᎩᎾᏤᎵᎢ|jò:ginaje:li̋:ɂi|jo¹gị²nạ²je²li⁴ɂi|Our things, he and I|joo1gi2naa2jee2lii4-i
ᏫᏗᎾᏚᎩ|widinatǔ:gi|wị²dị²nạ²tu²³gi|Let them drink alcoholic drinks|wi2di2na2tuu23gi
ꮷꮹᏘᏗ|ju:wà:tdi|ju²wa¹tdi|For him to bake things|juu2waa1tdi
ᏗᎩᎾᏤᎵᎢ|diginaje:li̋:ɂi|dị²gị²nạ²je²li⁴ɂi|Our things, you (1) and I|di2gi2naa2jee2lii4-i
ᏫᏦᏍᏓᏚᎩ|wijò:sdatǔ:gi|wị²jo¹sdạ²tu²³gi|Let him and me drink alcoholic drinks|wi2joo1sda2tuu23gi
ᏕᏍᏛᏯ|de:sdù:wâ:ya|de²sdu¹wa³²ya|You both have rod shaped things|dee2sduu1waa32ya
ᏍᏓᏓᎪᏩᏔ|sdada:gò:wahta|sdạ²da²go¹wah²ta|Let you both see yourselves|sdaa2daa2goo1wah2ta
ᎨᎩᎪᎲᎢ|ge:gi:go:hv̌:ɂi|ge²gi²go²hv²³ɂi|They saw all of us a while ago|gee2gii2goo2hvv23-i
ᏫᏗᎪᏩᏔ|widigò:wahta|wị²dị²go¹wah²ta|Let him see them|wi2di2goo1wah2ta
ᎪᎩᎪᎲᎢ|go:gi:go:hv̌:ɂi|go²gi²go²hv²³ɂi|They saw them and me a while ago|goo2gii2goo2hvv23-i
ᎢᎦᏓᎪᎲᎢ|ì:gada:go:hv̌:ɂi|i¹gạ²da²go²hv²³ɂi|All of us saw ourselves a while ago|ii1ga2daa2goo2hvv23-i
ᎢᏣᏓᎪᎲᎢ|ì:jada:go:hv̌:ɂi|i¹jạ²da²go²hv²³ɂi|You all saw yourselves a while ago|ii1ja2daa2goo2hvv23-i
ᏗᏣᏓᎪᏩᏔ|dijada:gò:wahta|dị²jạ²da²go¹wah²ta|Let you all see each other|di2ja2daa2goo1wah2ta
ᎣᎦᏓᎪᎲᎢ|ò:gada:go:hv̌:ɂi|o¹gạ²da²go²hv²³ɂi|They and I saw ourselves a while ago|oo1ga2daa2goo2hvv23-i
ᏓᎩᎭ|dà:giha|da¹gị²ha|I have solid things|daa1gi2ha
ᎤᎾᏓᎪᎲᎢ|ù:nada:go:hv̌:ɂi|u¹nạ²da²go²hv²³ɂi|They saw themselves a while ago|uu1na2daa2goo2hvv23-i
ᏕᏣᎭ|de:jaha|de²jạ²ha|You (1) have solid things|dee2ja2ha
ᎨᎩᏂᎪᎲᎢ|ge:gini:go:hv̌:ɂi|ge²gị²ni²go²hv²³ɂi|They saw you (1) and me a while ago|gee2gi2nii2goo2hvv23-i
ᎪᎩᏂᎪᎲᎢ|go:gini:go:hv̌:ɂi|go²gị²ni²go²hv²³ɂi|They saw him and me a while ago|goo2gi2nii2goo2hvv23-i
ᎨᏍᏙᎵᎦ|ge:sdo:lì:gā|ge²sdo²li¹ga²|You both recently recognized them (animate); They recently recognized you both|gee2sdoo2lii1ga2
ᎣᎩᎾᏓᎪᎲᎢ|ò:ginada:go:hv̌:ɂi|o¹gị²nạ²da²go²hv²³ɂi|He and I saw ourselves a while ago|oo1gi2na2daa2goo2hvv23-i
ᎡᎩᏃᎵᎦ|è:gino:lì:gā|e¹gị²no²li¹ga²|You (1) and I were recently recognized|ee1gi2noo2lii1ga2
ᏨᏌ|jv̋:sa|jv⁴sa|You (1) alone|jvv4sa
ᎬᏥ|gv:ji|gv²ji|I, your mother|gvv2ji
ᎤᎲᎢ|ù:hv̌:ɂi|u¹hv²³ɂi|He had something solid a while ago|uu1hvv23-i
