ᎤᎭ	u¹ha	uu1ha
ᏍᏗᎭ	sdi²ha	sdii2ha
ᏤᎩᎪᏗ	je¹gi²koh³di	jee1gii2koh3di
ᏫᏗᎪᏩᏔ	wị²dị²go¹wah²ta	wi2di2goo1wah2ta
ᎢᏥᎭ	i¹ji²ha	ii1jii2ha
ᏤᏂᎪᏗ	je¹ni²koh³di	jee1nii2koh3di
ᎢᏣᏓᎪᏩᏔ	i¹jạ²da²go¹wah²ta	ii1ja2daa2goo1wah2ta
ᏤᏗᎪᏗ	je¹di²koh³di	jee1dii2koh3di
ᏤᏥᎪᏗ	je¹ji²koh³di	jee1jii2koh3di
ᎯᏲᎵᎦ	hi²yo²li¹ga	hii2yoo2lii1ga
ᎯᏥ	hi²ji	hii2ji
ᎠᏂᎴᎦ	a¹ni³le¹ga	aa1nii3lee1ga
ᏚᎲᎢ	du²hv²³ɂi	duu2hvv23-i
ᏓᏋᏴᎢ	da¹gwu¹wa²³yv³ɂi	daa1gwuu1waa23yvv3-i
ᏕᏂᏟᏌ	de³ni¹hli²³sa²	dee3nii1hlii23sa2
ᎨᎪᎵᎪᎢ	ge²gohl²go³ɂi	gee2gohl2goo3-i
ᎨᎪᎵᎪᎢ	ge²go²li²go³ɂi	gee2goo2lii2goo3-i
ᏕᎦᏓᏙᎵᏨᎢ	de³gạ²da²dohl²jv²³ɂi	dee3ga2daa2dohl2jvv23-i
ᏓᎦᏙᏍᏗ	da¹kto²³sdi	daa1ktoo23sdi
ᎣᏥᎴᎦ	o¹ji³le¹ga	oo1jii3lee1ga
ᎤᎮᏍᏗ	u¹he³sdi	uu1hee3sdi
ᏕᏗᏟᏌ	de³di¹hli²³sa²	dee3dii1hlii23sa2
ᎨᏦᎵᎪᎢ	ge²johl²go³ɂi	gee2johl2goo3-i
ᏣᏓᎧᎰᎢ	jạ²da²kạ²ho³ɂi	ja2daa2ka2hoo3-i
ᎨᏦᎵᎪᎢ	ge³jo²li²go³ɂi	gee3joo2lii2goo3-i
ᏙᎦᏓᏙᎵᏨᎢ	do¹gạ²da²dohl²jv²³ɂi	doo1ga2daa2dohl2jvv23-i
ᎢᎬᏌ	i¹gv²³sa	ii1gvv23sa
ᎣᏍᏗᎴᎦ	o¹sdi³le¹ga	oo1sdii3lee1ga
ᏙᏥᏟᏌ	do¹ji¹hli²³sa²	doo1jii1hlii23sa2
ᎪᎪᎵᎪᎢ	go²gohl²go³ɂi	goo2gohl2goo3-i
ᎠᏆᏓᎧᎰᎢ	a¹gwạ²da²kạ²ho³ɂi	aa1gwaa2daa2ka2hoo3-i
ᏚᎾᏓᏙᎵᏨᎢ	du¹nạ²da²dohl²jv²³ɂi	duu1na2daa2dohl2jvv23-i
ᏩᏓ	wạ²da	wa2da
ᎣᎬᏌ	o¹gv²³sa	oo1gvv23sa
ᏙᎬᏲᎢ	do¹gu¹wa²³yọ³ɂi	doo1guu1waa23yo3-i
ᎬᏉᎵᎪᎢ	gv²gwohl²go³ɂi	gvv2gwohl2goo3-i
ᏙᏍᏗᏟᏌ	do¹sdi¹hli²³sa²	doo1sdii1hlii23sa2
ᏗᎩᎾᏓᎪᏩᏛᏗ	dị²gị²nạ²da²gowh²tvh³di	di2gi2na2daa2gowh2tvh3di
ᏕᎩᎾᏓᏙᎵᏨᎢ	de²gị²nạ²da²dohl²jv²³ɂi	dee2gi2na2daa2dohl2jvv23-i
ᎤᏅᏌ	u¹nv²³sa	uu1nvv23sa
ᏚᏅᏲᎢ	du¹nu¹wa²³yọ³ɂi	duu1nuu1waa23yo3-i
ᏕᎯᏚᎲᎦ	de²hị¹du²hv¹ga²	dee2hi1duu2hvv1ga2
ᎨᎩᏃᎵᎪᎢ	ge²gị²nohl²go³ɂi	gee2gi2nohl2goo3-i
ᏦᎦᏚᎸᏗ	jo¹gạ²duhl²di	joo1ga2duhl2di
ᎦᏓᏙᎵᎪᎢ	gạ²da²do²li²go³ɂi	ga2daa2doo2lii2goo3-i
ᏙᎩᎾᏓᏙᎵᏨᎢ	do¹gị²nạ²da²dohl²jv²³ɂi	doo1gi2na2daa2dohl2jvv23-i
ᎮᎾ	he¹na²	hee1na2
ᎩᏅᏌ	gị²nv²³sa	gi2nvv23sa
ᏕᎩᏅᏲᎢ	de²gị²nu¹wa²³yọ³ɂi	dee2gi2nuu1waa23yo3-i
ᏓᏂᏯᎦ	da¹ni²hyạ²ga²	daa1nii2hya2ga2
ᏕᏥᏚᎲᎦ	de²jị¹du²hv¹ga²	dee2ji1duu2hvv1ga2
ᎪᎩᏃᎵᎪᎢ	go²gị²nohl²go³ɂi	goo2gi2nohl2goo3-i
ᎩᎾᏓᏚᎳ	gị²nạ²dạ²du²³la²	gi2na2da2duu23la2
ᎣᎩᏅᏌ	o¹gị²nv²³sa	oo1gi2nvv23sa
ᏙᎩᏅᏲᎢ	do¹gị²nu¹wa²³yọ³ɂi	doo1gi2nuu1waa23yo3-i
ᏓᎾᏓᏙᎵᎪᎢ	da¹nạ²da²dohl²go³ɂi	daa1naa2daa2dohl2goo3-i
ᏍᏛᏌ	sdv⁴sa	sdvv4sa
ᏕᏥᏰᎠ	de³ji²hye³ɂa	dee3jii2hyee3-a
ᏧᏩᏰᏍᏗ	ju²wa²hye¹sdi	juu2waa2hyee1sdi
ᏧᎾᏤᎵᎢ	ju¹nạ²je²li⁴ɂi	juu1naa2jee2lii4-i
ᏫᏗᎾᏚᎩ	wị²dị²nạ²tu²³gi	wi2di2na2tuu23gi
ᏕᎾᏓᏙᎵᎪᎢ	de³nạ²da²dohl²go³ɂi	dee3na2daa2dohl2goo3-i
ᏗᎦᏓᏚᎸᏗ	dị²gạ²dạ²duhl²di	di2ga2da2duhl2di
ᎢᏨᏌ	i¹jv⁴sa	ii1jvv4sa
ᏕᏍᏗᏰᎠ	de²sdi²hye³ɂa	dee2sdii2hyee3-a
ᏕᏓᏓᏙᎵᎪᎢ	de³dạ²da²dohl²go³ɂi	dee3da2daa2dohl2goo3-i
ᏨᏯ	ju¹wa³²ya	juu1waa32ya
ᎬᎪᏩᏔ	gv²go¹wah²ta²	gvv2goo1wah2ta2
ᎨᏍᏙᎵᎦ	ge²sdo²li¹ga²	gee2sdoo2lii1ga2
ᏙᏣᏓᏙᎵᎪᎢ	do¹jạ²da²dohl²go³ɂi	doo1ja2daa2dohl2goo3-i
ᎠᏋᏯ	a¹gwu¹wa³²ya	aa1gwuu1waa32ya
ᏥᎪᏩᏔ	ji²go¹wah²ta²	jii2goo1wah2ta2
ᏙᏍᏓᏓᏙᎵᎪᎢ	do¹sdạ²da²dohl²go³ɂi	doo1sda2daa2dohl2goo3-i
ᎦᏥᎪᏩᏔ	gạ²ji²go¹wah²ta²	ga2jii2goo1wah2ta2
ᎢᎦᏓᎪᎲᎢ	i¹gạ²da²go²hv²³ɂi	ii1ga2daa2goo2hvv23-i
ᎡᏦᎵᏍᏗ	e¹jo²li³sdi	ee1joo2lii3sdi
ᎯᏲᎵᎩ	hi²yo²li¹gi	hii2yoo2lii1gi
ᎣᎦᏓᎪᎲᎢ	o¹gạ²da²go²hv²³ɂi	oo1ga2daa2goo2hvv23-i
ᏍᏓᏓᏚᎳ	sdạ²dạ²du²³la	sdaa2da2duu23la
ᏍᎩᏃᎵᎩ	sgị²no²li¹gi	sgii2noo2lii1gi
ᏕᏣᏓᏙᎵᎦ	de³jạ²da²dohl²ga²	dee3ja2daa2dohl2ga2
ᎤᎾᏓᎪᎲᎢ	u¹nạ²da²go²hv²³ɂi	uu1na2daa2goo2hvv23-i
ᏫᏨᏲᎵᎩ	wi¹jv²yo²li¹gi	wii1jvv2yoo2lii1gi
ᏕᏍᏓᏓᏙᎵᎦ	de²sdạ²da²dohl²ga²	dee2sdaa2daa2dohl2ga2
ᎣᎩᎾᏓᎪᎲᎢ	o¹gị²nạ²da²go²hv²³ɂi	oo1gi2na2daa2goo2hvv23-i
ᎡᎩᏃᎵᏍᏗ	e¹gị²no²li³sdi	ee1gi2noo2lii3sdi
ᏗᏣᏓᏚᎳ	dị²jạ²dạ²du²³la	di2ja2da2duu23la
ᎦᎯᏲᎵᎩ	gạ²hi²yo²li¹gi	ga2hii2yoo2lii1gi
ᏗᏍᏓᏓᏙᎵᏍᏗ	dị²sdạ²da²do²hlị³sdi	di2sdaa2daa2doo2hli3sdi
ᏫᏗᎪᎵᎩ	wị²dị²gohl²gi	wi2di2gohl2gi
ᏘᎪᏩᏔ	tị²go¹wah²ta	ti2goo1wah2ta
ᏗᏗᎪᏩᏔ	dị²di²go¹wah²ta	di2dii2goo1wah2ta
ᏗᏂᎪᏩᏔ	dị³ni²go¹wah²ta	di3nii2goo1wah2ta
ᏫᏦᏥᎪᏩᏔ	wị²jo¹ji²go¹wah²ta	wi2joo1jii2goo1wah2ta
ᏫᏦᏍᏗᎪᏩᏔ	wị²jo¹sdi²go¹wah²ta	wi2joo1sdii2goo1wah2ta
ᏫᏗᏥᎪᏩᏔ	wị²dị²jị²go¹wah²ta	wi2di2ji2goo1wah2ta
ᏫᏗᎾᏓᎪᏩᏔ	wị²dị²nạda²go¹wah²ta	wi2di2nadaa2goo1wah2ta
ᎪᎵᎦ	go²li¹ga	goo2lii1ga
ᏗᏍᎩᏯᎪᏗ	di¹sgi²ya²koh³di	dii1sgii2yaa2koh3di
ᎢᏣᏓᏙᎵᎦ	i¹jạ²da²dohl²ga	ii1ja2daa2dohl2ga
ᏥᏥ	ji²ji	jii2ji
ᏚᎾᎠ	du²nạ³ɂa	duu2na3-a
ᏘᏍᏗᎦ	tị²sdi²³ga	ti2sdii23ga
ᏓᏗᏔᏍᎦ	da¹di²tạ³sga	daa1dii2ta3sga
ᏗᏊᏗᏔᏍᏗ	dị¹gwa²di²tạ²sdi	di1gwaa2dii2ta2sdi
ᎦᏓᎦᏙᏍᏗ	gạ²dạ²ga¹to²³sdi	ga2da2gaa1too23sdi
ᏦᎦᏓᎦᏙᏍᏙᏗ	jo¹gạ²dạ²kto²³sdoh³di	joo1ga2da2ktoo23sdoh3di
ᏣᏁᏗ	jạ²neh²di	ja2neh2di
ᎤᎲᎢ	u¹hv²³ɂi	uu1hvv23-i
ᎠᏓ	ạ²da²	a2da2
ᏗᏗᏍᏗᎦ	dị²di²sdi²³ga	di2dii2sdii23ga
ᏕᎾᏚᎦ	de³nạ²tu²³ga²	dee3na2tuu23ga2
ᏧᎾᏓᎦᏙᏍᏙᏗ	ju¹nạ²dạ²kto²³sdoh³di	juu1na2da2ktoo23sdoh3di
ᎠᎩᏁᏗ	a¹gị²neh²di	aa1gi2neh2di
ᎭᏓ	hạ²da²	ha2da2
ᏗᏂᏍᏗᎦ	dị³ni²sdi²³ga	di3nii2sdii23ga
ᏕᏓᏚᎦ	de³dạ²tu²³ga²	dee3da2tuu23ga2
ᏚᎾᏓᏚᎸᎲᎢ	du¹nạ²dạ²du²lv²hv²³ɂi	duu1na2da2duu2lvv2hvv23-i
ᏦᎩᎾᏓᎦᏙᏍᏙᏗ	jo¹gị²nạ²dạ²kto²³sdoh³di	joo1gi2na2da2ktoo23sdoh3di
ᏥᎴᎦ	jị³le¹ga	ji3lee1ga
ᏙᎬᏴᎢ	do¹gu¹wa²³yv³ɂi	doo1guu1waa23yvv3-i
ᏫᏗᏍᏗᎦ	wị²dị²sdi²³ga	wi2di2sdii23ga
ᏙᏣᏚᎦ	do¹jạ²tu²³ga²	doo1ja2tuu23ga2
ᏍᏓᏓ	sdạ²da	sda2da
ᏚᏅᏴᎢ	du¹nu¹wa²³yv³ɂi	duu1nuu1waa23yvv3-i
ᏫᏦᏥᏍᏗᎦ	wị²jo¹ji²sdi²³ga	wi2joo1jii2sdii23ga
ᏦᎩᎪᏩᏛᏗ	jo¹gi²gowh²tvh³di	joo1gii2gowh2tvh3di
ᏙᏍᏓᏚᎦ	do¹sdạ²tu²³ga²	doo1sda2tuu23ga2
ᎢᏗᎴᎦ	i¹di³le¹ga	ii1dii3lee1ga
ᎢᏣᏓ	i¹jạ²da	ii1ja2da
ᏕᎩᏅᏴᎢ	de²gị²nu¹wa²³yv³ɂi	dee2gi2nuu1waa23yvv3-i
ᏫᏦᏍᏗᏍᏗᎦ	wị²jo¹sdi²sdi²³ga	wi2joo1sdii2sdii23ga
ᏕᏥᏟᏌ	de²jị¹hli²³sa²	dee2ji1hlii23sa2
ᏦᎩᏂᎪᏩᏛᏗ	jo¹gị²ni²gowh²tvh³di	joo1gi2nii2gowh2tvh3di
ᏙᏍᏓᏓᎦᏙᏍᏗ	do¹sdạ²da¹kto²³sdi	doo1sda2daa1ktoo23sdi
ᏙᎩᏅᏴᎢ	do¹gị²nu¹wa²³yv³ɂi	doo1gi2nuu1waa23yvv3-i
ᏫᏗᏥᏍᏗᎦ	wị²dị²jị²sdi²³ga	wi2di2ji2sdii23ga
ᏗᎦᏓᎪᏩᏛᏗ	dị²gạ²da²gowh²tvh³di	di2ga2daa2gowh2tvh3di
ᎨᎦᏚᎳ	ge²gạ²du²³la²	gee2ga2duu23la2
ᏬᏣᏓ	wo¹jạ²da	woo1ja2da
ᏕᏨᏲᎢ	de³ju¹wa²³yọ³ɂi	dee3juu1waa23yo3-i
ᎨᏣᏚᎳ	ge³jạ²du²³la²	gee3ja2duu23la2
ᏬᏍᏓᏓ	wo¹sdạ²da	woo1sda2da
ᏕᏍᏛᏲᎢ	de²sdu¹wa²³yọ³ɂi	dee2sduu1waa23yo3-i
ᏗᏥᏟᏌ	dị²ji¹hli²³sa	di2jii1hlii23sa
ᏗᏍᏓᏤᎵᎢ	dị²sdạ²je²li⁴ɂi	di2sdaa2jee2lii4-i
ᎪᎦᏚᎳ	go²gạ²du²³la²	goo2ga2duu23la2
ᏧᎾᏚᎸᏗ	ju¹nạ²duhl²di	juu1na2duhl2di
ᏓᎩᎰᎢ	da¹gị²ho³ɂi	daa1gi2hoo3-i
ᎬᏯᎧᎭ	gv²ya²kạ³ha	gvv2yaa2ka3ha
ᎪᏣᏚᎳ	go²jạ²du²³la²	goo2ja2duu23la2
ᏕᏣᎰᎢ	de²jạ²ho³ɂi	dee2ja2hoo3-i
ᏥᏯᎧᎭ	ji²ya²kạ³ha	jii2yaa2ka3ha
ᎬᏆᏚᎳ	gv²gwạ²du²³la²	gvv2gwa2duu23la2
ᎢᎬᏯ	i¹gu¹wa³²ya	ii1guu1waa32ya
ᎦᏥᏯᎧᎭ	gạ²ji²ya²kạ³ha	ga2jii2yaa2ka3ha
ᎪᏍᏓᏚᎳ	go²sdạ²du²³la²	goo2sda2duu23la2
ᎣᎬᏯ	o¹gu¹wa³²ya	oo1guu1waa32ya
ᎨᎩᎾᏚᎳ	ge²gị²nạ²du²³la²	gee2gi2na2duu23la2
ᎪᎩᎾᏚᎳ	go²gị²nạ²du²³la²	goo2gi2na2duu23la2
ᎯᎪᎲᎢ	hi²go²hv²³ɂi	hii2goo2hvv23-i
ᎡᎩᏃᎵᎦ	e¹gị²no²li¹ga²	ee1gi2noo2lii1ga2
ᏧᏬᎵᏍᏗ	ju²wo²hlị³sdi	juu2woo2hli3sdi
ᎢᏨᎪᎲᎢ	i¹jv²go²hv²³ɂi	ii1jvv2goo2hvv23-i
ᎤᏓᎪᎲᎢ	u¹da²go²hv²³ɂi	uu1daa2goo2hvv23-i
ᎢᎦᏓᏙᎵᏍᏗ	i¹gạ²da²do²hlị³sdi	ii1ga2daa2doo2hli3sdi
ᎢᏣᏓᏙᎵᎩ	i¹jạ²da²dohl²gi	ii1ja2daa2dohl2gi
ᎢᏍᎩᎪᎲᎢ	i¹sgi²go²hv²³ɂi	ii1sgii2goo2hvv23-i
ᎣᎦᏓᏙᎵᏍᏗ	o¹gạ²da²do²hlị³sdi	oo1ga2daa2doo2hli3sdi
ᎨᎾᏚᎳ	ge²nạ²du²³la	gee2na2duu23la
ᏫᏗᎾᏓᏙᎵᎩ	wị²dị²nạda²dohl²gi	wi2di2nadaa2dohl2gi
ᎭᏓᏙᎵᎦ	hạ²da²dohl²ga²	haa2daa2dohl2ga2
ᎦᎯᎪᎲᎢ	gạ²hi²go²hv²³ɂi	ga2hii2goo2hvv23-i
ᎤᎾᏓᏙᎵᏍᏗ	u¹nạ²da²do²hlị³sdi	uu1na2daa2doo2hli3sdi
ᎨᏓᏚᎳ	ge²dạ²du²³la	gee2da2duu23la
ᏣᏓᎪᎲᎢ	jạ²da²go²hv²³ɂi	ja2daa2goo2hvv23-i
ᏗᏣᏓᏙᎵᏍᏗ	dị²jạ²da²do²hlị³sdi	di2ja2daa2doo2hli3sdi
ᎨᏣᏚᎳ	ge²jạ²du²³la	gee2ja2duu23la
ᏍᏓᏓᎪᎲᎢ	sdạ²da²go²hv²³ɂi	sdaa2daa2goo2hvv23-i
ᎢᎾᏓᏙᎵᎦ	i¹nạ²da²dohl²ga²	ii1na2daa2dohl2ga2
ᎣᎩᎾᏓᏙᎵᏍᏗ	o¹gị²nạ²da²do²hlị³sdi	oo1gi2na2daa2doo2hli3sdi
ᎨᏍᏓᏚᎳ	ge²sdạ²du²³la	gee2sda2duu23la
ᎠᏆᏓᎪᎲᎢ	a¹gwạ²da²go²hv²³ɂi	aa1gwaa2daa2goo2hvv23-i
ᏫᏗᏂᎪᏩᏔ	wị²dị²ni²go¹wah²ta	wi2di2nii2goo1wah2ta
ᎠᏴ	ạ²yv	a2yv
ᎢᏂᎷᎦ	i¹ni²lu¹ga	ii1nii2luu1ga
ᎤᎸᏍᏗ	u¹lv¹sdi	uu1lvv1sdi
ᏚᏁᎭ	du²nẹ³ha	duu2ne3ha
ᏓᏆᏅᏔ	da¹gwạ²nhta	daa1gwa2nhta
ᎦᏗᎠ	gạ²di³ɂa	ga2dii3-a
ᏫᏓᎭᏗᏔ	wị²da²di²³ta	wi2daa2dii23ta
ᎦᏓᎪᏩᏘᎭ	gạ²da²gowh²tị³ha	ga2daa2gowh2ti3ha
ᏦᎩᏟᏐᏗ	jo¹gi¹hli²³soh³di	joo1gii1hlii23soh3di
ᎢᏗᎷᎦ	i¹di²lu¹ga	ii1dii2luu1ga
ᏕᏣᏅᏔ	de²jạ²nhta	dee2ja2nhta
ᏗᏧᏗᏔᏍᏗ	dị²ja²di²tạ²sdi	di2jaa2dii2ta2sdi
ᏦᎩᏂᏟᏐᏗ	jo¹gị²ni¹hli²³soh³di	joo1gi2nii1hlii23soh3di
ᏕᎦᎦᏙᏍᏗ	de²gạ²ga¹to²³sdi	dee2ga2gaa1too23sdi
ᏕᎩᎮᏍᏗ	de³gi²he³sdi	dee3gii2hee3sdi
ᏗᎩᏁᏗ	di¹gi²neh²di	dii1gii2neh2di
ᏬᏥᎷᎦ	wo¹ji²lu¹ga	woo1jii2luu1ga
ᏙᎩᎮᏍᏗ	do¹gi²he³sdi	doo1gii2hee3sdi
ᏦᎩᏁᏗ	jo¹gi²neh²di	joo1gii2neh2di
ᏬᏍᏗᎷᎦ	wo¹sdi²lu¹ga	woo1sdii2luu1ga
ᏚᏂᎮᏍᏗ	du¹ni²he³sdi	duu1nii2hee3sdi
ᏫᏗᎾᏓᎦᏙᏍᏓ	wị²dị²nạdạ²kto²³sda	wi2di2nada2ktoo23sda
ᏗᎦᏓᎦᏙᏍᏙᏗ	dị²gạ²dạ²kto²³sdoh³di	di2ga2da2ktoo23sdoh3di
ᏧᏂᏁᏗ	ju¹ni²neh²di	juu1nii2neh2di
ᏕᎩᏂᎮᏍᏗ	de²gị²ni²he³sdi	dee2gi2nii2hee3sdi
ᏦᎩᏂᏁᏗ	jo¹gị²ni²neh²di	joo1gi2nii2neh2di
ᎦᎴᎦ	gạ³le¹ga	ga3lee1ga
ᏙᎩᏂᎮᏍᏗ	do¹gị²ni²he³sdi	doo1gi2nii2hee3sdi
ᎯᎴᎦ	hị³le¹ga	hi3lee1ga
ᏕᏨᏴᎢ	de³ju¹wa²³yv³ɂi	dee3juu1waa23yvv3-i
ᏫᏗᏂᏍᏗᎦ	wị²dị²ni²sdi²³ga	wi2di2nii2sdii23ga
ᏘᏚᎲᎦ	tị¹du²hv¹ga	ti1duu2hvv1ga
ᏍᏕᎾ	sde¹na²	sdee1na2
ᏗᏗᏚᎲᎦ	dị²di¹du²hv¹ga	di2dii1duu2hvv1ga
ᏗᏍᏓᏚᎩ	dị²sdạ²tu²³gi	di2sda2tuu23gi
ᏧᏂᎪᏩᏛᏗ	ju¹ni²gowh²tvh³di	juu1nii2gowh2tvh3di
ᎢᏤᎾ	i¹je¹na²	ii1jee1na2
ᏗᎩᎪᏩᏛᏗ	dị²gi²gowh²tvh³di	di2gii2gowh2tvh3di
ᏫᏦᏥᏚᎲᎦ	wị²jo¹ji¹du²hv¹ga	wi2joo1jii1duu2hvv1ga
ᏗᎩᎪᏩᏛᏗ	dị¹gị²gowh²tvh³di	di1gi2gowh2tvh3di
ᎩᏂᎰᎢ	gị²ni²ho³ɂi	gi2nii2hoo3-i
ᏫᏦᏍᏗᏚᎲᎦ	wị²jo¹sdi¹du²hv¹ga	wi2joo1sdii1duu2hvv1ga
ᏗᎩᏂᎪᏩᏛᏗ	dị²gị²ni²gowh²tvh³di	di2gi2nii2gowh2tvh3di
ᏍᎩᎧᎭ	sgị²kạ³ha	sgii2ka3ha
ᏫᏗᏥᏚᎲᎦ	wị²dị²jị¹du²hv¹ga	wi2di2ji1duu2hvv1ga
ᏗᏍᏓᏓᎪᏩᏛᏗ	dị²sdạ²da²gowh²tvh³di	di2sdaa2daa2gowh2tvh3di
ᏕᎩᎧᎭ	de¹gi²kạ³ha	dee1gii2ka3ha
ᎭᏓᏙᎵᎪᎢ	hạ²da²dohl²go³ɂi	haa2daa2dohl2goo3-i
ᏕᏂᎧᎭ	de¹ni²kạ³ha	dee1nii2ka3ha
ᎠᎾᏓᏙᎵᎪᎢ	a¹nạ²da²dohl²go³ɂi	aa1naa2daa2dohl2goo3-i
ᏧᏚᎸᏗ	ju²duhl²di	juu2duhl2di
ᏣᏘᏗ	jạ¹tdi	ja1tdi
ᏕᏗᎧᎭ	de¹di²kạ³ha	dee1dii2ka3ha
ᎢᎾᏓᏙᎵᎪᎢ	i¹nạ²da²dohl²go³ɂi	ii1na2daa2dohl2goo3-i
ᎨᎦᏚᎸᏗ	ge²gạ²duhl²di	gee2ga2duhl2di
ᎠᎩᏘᏗ	a¹gị¹tdi	aa1gi1tdi
ᏕᏥᎧᎭ	de¹ji²kạ³ha	dee1jii2ka3ha
ᎢᏓᏓᏙᎵᎪᎢ	i¹dạ²da²dohl²go³ɂi	ii1da2daa2dohl2goo3-i
ᎨᏣᏚᎸᏗ	ge³jạ²duhl²di	gee3ja2duhl2di
ᎪᎦᏚᎸᏗ	go²gạ²duhl²di	goo2ga2duhl2di
ᏥᏲᎵᏍᏗ	ji²yo²li³sdi	jii2yoo2lii3sdi
ᎪᏣᏚᎸᏗ	go²jạ²duhl²di	goo2ja2duhl2di
ᏕᏍᏗᎧᎭ	de¹sdi²kạ³ha	dee1sdii2ka3ha
ᎯᎪᏩᏔ	hi²go¹wah²ta²	hii2goo1wah2ta2
ᏓᎪᏩᏔ	dạ²go¹wah²ta²	da2goo1wah2ta2
ᎦᏥᏲᎵᏍᏗ	gạ²ji²yo²li³sdi	ga2jii2yoo2lii3sdi
ᎪᏍᏓᏚᎸᏗ	go²sdạ²duhl²di	goo2sda2duhl2di
ᏕᎩᏂᎧᎭ	de¹gị²ni²kạ³ha	dee1gi2nii2ka3ha
ᎨᎩᎾᏚᎸᏗ	ge²gị²nạ²duhl²di	gee2gi2na2duhl2di
ᏕᏂᎪᏩᏔ	de³ni²go¹wah²ta²	dee3nii2goo1wah2ta2
ᎪᎩᎾᏚᎸᏗ	go²gị²nạ²duhl²di	goo2gi2na2duhl2di
ᎤᏓᏙᎵᏍᏗ	u¹da²do²hlị³sdi	uu1daa2doo2hli3sdi
ᏕᏗᎪᏩᏔ	de³di²go¹wah²ta²	dee3dii2goo1wah2ta2
ᎢᏣᏓᏚᎳ	i¹jạ²dạ²du²³la	ii1ja2da2duu23la
ᏙᏥᎪᏩᏔ	do¹ji²go¹wah²ta²	doo1jii2goo1wah2ta2
ᏣᏓᏙᎵᏍᏗ	jạ²da²do²hlị³sdi	ja2daa2doo2hli3sdi
ᎠᏆᏓᏙᎵᏍᏗ	a¹gwạ²da²do²hlị³sdi	aa1gwaa2daa2doo2hli3sdi
ᏙᏍᏗᎪᏩᏔ	do¹sdi²go¹wah²ta²	doo1sdii2goo1wah2ta2
ᎨᏂᎪᏩᏔ	ge²ni²go¹wah²ta	gee2nii2goo1wah2ta
ᎨᏗᎪᏩᏔ	ge²di²go¹wah²ta	gee2dii2goo1wah2ta
ᎨᏥᎪᏩᏔ	ge²ji²go¹wah²ta	gee2jii2goo1wah2ta
ᎨᏍᏗᎪᏩᏔ	ge²sdi²go¹wah²ta	gee2sdii2goo1wah2ta
ᏗᏥᎪᏩᏔ	dị²ji²go¹wah²ta	di2jii2goo1wah2ta
ᎯᎠ	hị²ɂa	hi2-a
ᎨᎪᎢ	ge³gọ³ɂi	gee3go3-i
ᏓᏍᏗᎦ	dạ²sdi²³ga²	da2sdii23ga2
ᏓᎾᏓᎦᏙᏍᏓ	da¹nạ²dạ²kto²³sda²	daa1naa2da2ktoo23sda2
ᎤᎾᎠ	u¹nạ³ɂa	uu1na3-a
ᏕᏂᏍᏗᎦ	de³ni²sdi²³ga²	dee3nii2sdii23ga2
ᏔᎭᏗᏔ	ta²di²³ta	taa2dii23ta
ᏕᎦᏗᏔᏍᎦ	de²ga¹di²tạ³sga	dee2gaa1dii2ta3sga
ᏕᎾᏓᎦᏙᏍᏓ	de³nạ²dạ²kto²³sda²	dee3na2da2ktoo23sda2
ᏕᎩᎲᎢ	de³gi²hv²³ɂi	dee3gii2hvv23-i
ᏗᏗᎭᏗᏔ	dị²da²di²³ta	di2daa2dii23ta
ᏧᏂᏟᏐᏗ	ju¹ni¹hli²³soh³di	juu1nii1hlii23soh3di
ᏕᎭᏗᏔᏍᎦ	de²ha¹di²tạ³sga	dee2haa1dii2ta3sga
ᏦᎫᏗᏔᏍᏗ	jo¹ga²di²tạ²sdi	joo1gaa2dii2ta2sdi
ᏕᏓᏓᎦᏙᏍᏓ	de³dạ²dạ²kto²³sda²	dee3da2da2ktoo23sda2
ᏙᎩᎲᎢ	do¹gi²hv²³ɂi	doo1gii2hvv23-i
ᎠᎾᏓ	a¹nạ²da²	aa1na2da2
ᏙᏥᏍᏗᎦ	do¹ji²sdi²³ga²	doo1jii2sdii23ga2
ᏗᏂᎭᏗᏔ	dị³na²di²³ta	di3naa2dii23ta
ᏗᎩᏟᏐᏗ	dị²gi¹hli²³soh³di	di2gii1hlii23soh3di
ᏦᎩᏄᏗᏔᏍᏗ	jo¹gị²na²di²tạ²sdi	joo1gi2naa2dii2ta2sdi
ᏙᏣᏓᎦᏙᏍᏓ	do¹jạ²dạ²kto²³sda²	doo1ja2da2ktoo23sda2
ᏚᏂᎲᎢ	du¹ni²hv²³ɂi	duu1nii2hvv23-i
ᏙᏍᏗᏍᏗᎦ	do¹sdi²sdi²³ga²	doo1sdii2sdii23ga2
ᏫᏦᏥᎭᏗᏔ	wị²jo¹ja²di²³ta	wi2joo1jaa2dii23ta
ᏗᎩᏟᏐᏗ	dị¹gị¹hli²³soh³di	di1gi1hlii23soh3di
ᏙᏍᏓᏓᎦᏙᏍᏓ	do¹sdạ²dạ²kto²³sda²	doo1sda2da2ktoo23sda2
ᎯᎷᎦ	hị²lu¹ga	hi2luu1ga
ᏕᎩᏂᎲᎢ	de²gị²ni²hv²³ɂi	dee2gi2nii2hvv23-i
ᎢᏓᏓ	i¹dạ²da²	ii1da2da2
ᏫᏗᎦᎭᏗᏔ	wị²dị²ga²di²³ta	wi2di2gaa2dii23ta
