ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᏓᏆᏅᏔ|dà:gwanhta||da¹gwạ²nhta|I know things|daa1gwa2nhta
ᏕᎩᎥᏰᏍᏗ|dé:gi:jv̌:yê:sdi||de³gi²jv²³ye³²sdi|All of us will be having rod shaped things|dee3gii2jvv23yee32sdi
ᏓᏂᏍᏗᎩᎠ|dà:nì:sdǐ:gíɂa||da¹ni¹sdi²³gị³ɂa|They are eating rod shaped things|daa1nii1sdii23gi3-a
ᏕᎭᏗᏔᏍᎪᎢ|de:hà:di:tasgó:ɂi||de²ha¹di²tạ²sgo³ɂi|You usually are drinking drinks|dee2haa1dii2ta2sgoo3-i
ᏙᎩᎥᏰᏍᏗ|dò:gi:jv̌:yê:sdi||do¹gi²jv²³ye³²sdi|They and I will be having rod shaped things|doo1gii2jvv23yee32sdi
ᏕᏂᏍᏗᎩᎠ|dé:nì:sdǐ:gíɂa||de³ni¹sdi²³gị³ɂa|You and I are eating rod shaped things|dee3nii1sdii23gi3-a
ᏚᏂᎥᏰᏍᏗ|dù:ni:jv̌:yê:sdi||du¹ni²jv²³ye³²sdi|They will be having rod shaped things|duu1nii2jvv23yee32sdi
ᏕᏗᏍᏗᎩᎠ|dé:dì:sdǐ:gíɂa||de³di¹sdi²³gị³ɂa|All of us are eating rod shaped things|dee3dii1sdii23gi3-a
ᏕᎩᏂᎥᏰᏍᏗ|de:gini:jv̌:yê:sdi||de²gị²ni²jv²³ye³²sdi|You and I will be having rod shaped things|dee2gi2nii2jvv23yee32sdi
ᏙᏥᏍᏗᎩᎠ|dò:jì:sdǐ:gíɂa||do¹ji¹sdi²³gị³ɂa|They and I are eating rod shaped things|doo1jii1sdii23gi3-a
ᏙᎩᏂᎥᏰᏍᏗ|dò:gini:jv̌:yê:sdi||do¹gị²ni²jv²³ye³²sdi|He and I will be having rod shaped things|doo1gi2nii2jvv23yee32sdi
ᏙᏍᏗᏍᏗᎩᎠ|dò:sdì:sdǐ:gíɂa||do¹sdi¹sdi²³gị³ɂa|He and I are eating rod shaped things|doo1sdii1sdii23gi3-a
ᏕᎦᏰᏍᎪᎢ|de:gahyé:sgó:ɂi||de²gạ²hye³sgo³ɂi|He usually is eating flexible things|dee2ga2hyee3sgoo3-i
ᏕᏥᏟᏏᎭ|de:jíhli:síha||de²jị³hli²sị³ha|I am gathering things|dee2ji3hlii2si3ha
ᏍᏗᎴᎦ|sdí:lè:ga||sdi³le¹ga|You both are climbing it|sdii3lee1ga
ᎢᏥᎴᎦ|ì:jí:lè:ga||i¹ji³le¹ga|You all are climbing it|ii1jii3lee1ga
ᎣᎩᎧᎭ|ò:gi:káha||o¹gi²kạ³ha|They and I have something alive|oo1gii2ka3ha
ᎠᏍᏗᎦ|asdǐ:gā||ạ²sdi²³ga²|He recently ate something rod shaped|a2sdii23ga2
ᏕᏥᏁᎲᎢ|dé:ji:ne:hv̌:ɂi||de³ji²ne²hv²³ɂi|You all had liquid things a while ago|dee3jii2nee2hvv23-i
ᎤᏂᎧᎭ|ù:ni:káha||u¹ni²kạ³ha|They have something alive|uu1nii2ka3ha
ᏥᏍᏗᎦ|jisdǐ:gā||jị²sdi²³ga²|I recently ate something rod shaped|ji2sdii23ga2
ᏕᏍᏗᏁᎲᎢ|de:sdi:ne:hv̌:ɂi||de²sdi²ne²hv²³ɂi|You both had liquid things a while ago|dee2sdii2nee2hvv23-i
ᎩᏂᎧᎭ|gini:káha||gị²ni²kạ³ha|You and I have something alive|gi2nii2ka3ha
ᎣᎩᏂᎧᎭ|ò:gini:káha||o¹gị²ni²kạ³ha|He and I have something alive|oo1gi2nii2ka3ha
ᎡᏣᎦᏙᏍᏗᏍᎪᎢ|è:jà:ktǒ:sdí:sgó:ɂi||e¹ja¹kto²³sdi³sgo³ɂi|You are often looked at|ee1jaa1ktoo23sdii3sgoo3-i
ᎥᏆᎦᏙᏍᏓ|v̀:gwaktǒ:sdā||v¹gwạ²kto²³sda²|I was recently looked at|vv1gwa2ktoo23sda2
ᎰᎵᎦ|hohlgā||hohl²ga²|You recently understood it|hohl2ga2
ᎠᏉᎵᎦ|à:gwohlga||a¹gwohl²ga|He recognizes me|aa1gwohl2ga
ᏦᎵᏍᏗ|jo:hlísdi||jo²hlị³sdi|For you to understand it; For him to recognize you|joo2hli3sdi
ᎢᏨᏯᏚᎸᎲᎢ|ì:jv:yadu:lv:hv̌:ɂi||i¹jv²yạ²du²lv²hv²³ɂi|I, we two, or we all wanted you all a while ago; We all wanted you, two a while ago|ii1jvv2ya2duu2lvv2hvv23-i
ᎦᎯᏯᏚᎵᎭ|gahi:yadu:líha||gạ²hi²yạ²du²lị³ha|You are wanting them (animate)|ga2hii2ya2duu2li3ha
ᏗᏍᏗᎪᏩᏛᏗ|disdi:gowhtv́hdi||dị²sdi²gowh²tvh³di|For you both to see them (inanimate)|di2sdii2gowh2tvh3di
ᏂᎯ|nihi||nị²hi|You one; You two; You all|ni2hi
ᏚᏍᏗᎬᎢ|dù:sdí:gv̌:ɂi||du¹sdi³gv²³ɂi|He ate rod shaped things a while ago|duu1sdii3gvv23-i
ᏥᏯᎦ|jiyagā||jị²yạ²ga²|I recently ate something flexible|ji2ya2ga2
ᎠᎦᎦᏙᏍᏙᏗ|à:gagà:tǒ:sdóhdi||a¹gạ²ga¹to²³sdoh³di|For him to be looked at|aa1ga2gaa1too23sdoh3di
ᏕᎦᏗᏔᏍᎪᎢ|de:gà:di:tasgó:ɂi||de²ga¹di²tạ²sgo³ɂi|I am usually drinking drinks|dee2gaa1dii2ta2sgoo3-i
ᎨᏣᎦᏙᏍᏙᏗ|gé:jagà:tǒ:sdóhdi||ge³jạ²ga¹to²³sdoh³di|For them to look at you all|gee3ja2gaa1too23sdoh3di
ᏕᎩᏂᎧᎰᎢ|de:gini:kahó:ɂi||de²gị²ni²kạ²ho³ɂi|You and I usually have living things|dee2gi2nii2ka2hoo3-i
ᏓᏂᎭᏗᏔ|dà:na:dǐ:tā||da¹na²di²³ta²|They recently drank drinks|daa1naa2dii23ta2
ᎪᏣᎦᏙᏍᏙᏗ|go:jagà:tǒ:sdóhdi||go²jạ²ga¹to²³sdoh³di|For them and me to look at them (animate)|goo2ja2gaa1too23sdoh3di
ᏙᎩᏂᎧᎰᎢ|dò:gini:kahó:ɂi||do¹gị²ni²kạ²ho³ɂi|He and I usually have living things|doo1gi2nii2ka2hoo3-i
