ᎤᎭ|ù:ha||u¹ha|He has something solid|uu1ha
ᎡᎩᏂᎪᏩᏘᎭ|è:gini:gowhtíha||e¹gị²ni²gowh²tị³ha|You and I are being seen|ee1gi2nii2gowh2ti3ha
ᎢᎩᎪᏩᏔ|ì:gi:gò:wahtā||i¹gi²go¹wah²ta²|He recently saw all of us|ii1gii2goo1wah2ta2
ᏣᏥ|jaji||jạ²ji|xShe, your one's mother|ja2ji
ᎤᏲᏏᎭ|ù:yó:siha||u¹yo³sị²ha|He is hungry|uu1yoo3si2ha
ᎤᏂᎸᏍᏗ|ù:ni:lv̀:sdi||u¹ni²lv¹sdi|For them to climb it|uu1nii2lvv1sdi
ᏕᎩᎾᎥᎢ|dé:gi:náv̌:ɂi||de³gi²nạ³v²³ɂi|All of us had flexible things a while ago|dee3gii2na3vv23-i
ᎣᎩᎸᏒᎢ|ò:gi:lv̂:sv̌:ɂi||o¹gi²lv³²sv²³ɂi|They and I climbed it a while ago|oo1gii2lvv32svv23-i
ᏙᎩᎾᎥᎢ|dò:gi:náv̌:ɂi||do¹gi²nạ³v²³ɂi|They and I had flexible things a while ago|doo1gii2na3vv23-i
ᏕᎾᏚᎩᏍᎪᎢ|dé:nà:tǔ:gî:sgó:ɂi||de³na¹tu²³gi³²sgo³ɂi|You and I usually are drinking alcoholic drinks|dee3naa1tuu23gii32sgoo3-i
ᎠᎦᎦᏙᏍᏗᏍᎪᎢ|à:gà:gà:tǒ:sdí:sgó:ɂi||a¹ga¹ga¹to²³sdi³sgo³ɂi|He is often looked at|aa1gaa1gaa1too23sdii3sgoo3-i
ᏚᏂᎾᎥᎢ|dù:ni:náv̌:ɂi||du¹ni²nạ³v²³ɂi|They had flexible things a while ago|duu1nii2na3vv23-i
ᎩᏂᎸᏒᎢ|gini:lv̂:sv̌:ɂi||gị²ni²lv³²sv²³ɂi|You and I climbed it a while ago|gi2nii2lvv32svv23-i
ᎣᎩᏂᎸᏒᎢ|ò:gini:lv̂:sv̌:ɂi||o¹gị²ni²lv³²sv²³ɂi|He and I climbed it a while ago|oo1gi2nii2lvv32svv23-i
ᏕᎩᏂᎾᎥᎢ|de:gini:náv̌:ɂi||de²gị²ni²nạ³v²³ɂi|You and I had flexible things a while ago|dee2gi2nii2na3vv23-i
ᏙᎩᏂᎾᎥᎢ|dò:gini:náv̌:ɂi||do¹gị²ni²nạ³v²³ɂi|He and I had flexible things a while ago|doo1gi2nii2na3vv23-i
ᏙᏍᏓᏚᎩᏍᎪᎢ|dò:sdà:tǔ:gî:sgó:ɂi||do¹sda¹tu²³gi³²sgo³ɂi|He and I usually are drinking alcoholic drinks|doo1sdaa1tuu23gii32sgoo3-i
ᎡᎾᎦᏙᏍᏔᏅᎢ|è:nà:gà:tǒ:stánv̌:ɂi||e¹na¹ga¹to²³stạ³nv²³ɂi|You and I looked at him a while ago|ee1naa1gaa1too23sta3nvv23-i
ꮪꮹᏚᏅᎢ|du:wá:du:hnv̌:ɂi||du²wa³du²hnv²³ɂi|He baked things a while ago|duu2waa3duu2hnvv23-i
ᏕᏥᏍᏗᎩᎠ|de:jìsdǐ:gíɂa||de²jị¹sdi²³gị³ɂa|I am eating rod shaped things|dee2ji1sdii23gi3-a
ᎯᏍᏗᎦ|hisdǐ:ga||hị²sdi²³ga|Let you eat something rod shaped|hi2sdii23ga
ᏥᏯᎦᏙᏍᏔᏅᎢ|ji:yà:gà:tǒ:stánv̌:ɂi||ji²ya¹ga¹to²³stạ³nv²³ɂi|I looked at him a while ago|jii2yaa1gaa1too23sta3nvv23-i
ᎢᎩᎮᏍᏗ|ì:gi:hé:sdi||i¹gi²he³sdi|All of us will be having something solid|ii1gii2hee3sdi
ᎣᏥᏍᏗᎦ|ò:ji:sdǐ:gā||o¹ji²sdi²³ga²|They and I recently ate something rod shaped|oo1jii2sdii23ga2
ᎣᏍᏗᏍᏗᎦ|ò:sdi:sdǐ:gā||o¹sdi²sdi²³ga²|He and I recently ate something rod shaped|oo1sdii2sdii23ga2
ᎦᏥᏯᎦᏙᏍᏔᏅᎢ|gaji:yà:gà:tǒ:stánv̌:ɂi||gạ²ji²ya¹ga¹to²³stạ³nv²³ɂi|I looked at them (animate) a while ago|ga2jii2yaa1gaa1too23sta3nvv23-i
ᎯᎪᏩᏘᏍᎪᎢ|hi:gowhtǐ:sgóɂi||hi²gowh²ti²³sgọ³ɂi|You are often seeing him|hii2gowh2tii23sgo3-i
ᏍᏓᏓᏚᎵᏍᎪᎢ|sdadadu:lǐ:sgóɂi||sdạ²dạ²du²li²³sgọ³ɂi|You both usually are wanting yourselves|sdaa2da2duu2lii23sgo3-i
ᎢᏨᎪᏩᏘᏍᎪᎢ|ì:jv:gowhtǐ:sgóɂi||i¹jv²gowh²ti²³sgọ³ɂi|I, we two, or we all are often seeing you all; We all are often seeing you, two|ii1jvv2gowh2tii23sgo3-i
ᎢᏣᏓᏚᎵᏍᎪᎢ|ì:jadadu:lǐ:sgóɂi||i¹jạ²dạ²du²li²³sgọ³ɂi|You all usually are wanting yourselves|ii1ja2da2duu2lii23sgo3-i
ᎢᏍᎩᎪᏩᏘᏍᎪᎢ|ì:sgi:gowhtǐ:sgóɂi||i¹sgi²gowh²ti²³sgọ³ɂi|You, two, or all are often seeing us all; You all are often seeing me|ii1sgii2gowh2tii23sgo3-i
ᎦᎯᎪᏩᏘᏍᎪᎢ|gahi:gowhtǐ:sgóɂi||gạ²hi²gowh²ti²³sgọ³ɂi|You are often seeing them (animate)|ga2hii2gowh2tii23sgo3-i
ᏥᏙᏓ|ji:do:da||ji²do²da|I, his father|jii2doo2da
ᏕᎩᏁᎮᏍᏗ|dé:gi:ne:hé:sdi||de³gi²ne²he³sdi|All of us will be having liquid things|dee3gii2nee2hee3sdi
ᎣᎩᎸᏍᏗ|ò:gi:lv̀:sdi||o¹gi²lv¹sdi|For them and me to climb it|oo1gii2lvv1sdi
ᏙᎩᏁᎮᏍᏗ|dò:gi:ne:hé:sdi||do¹gi²ne²he³sdi|They and I will be having liquid things|doo1gii2nee2hee3sdi
ᎠᎩᏲᏏᏌ|à:giyò:sǐ:sā||a¹gị²yo¹si²³sa²|I was recently hungry|aa1gi2yoo1sii23sa2
ᎩᏂᎸᏍᏗ|gini:lv̀:sdi||gị²ni²lv¹sdi|For you and me to climb it|gi2nii2lvv1sdi
ᏚᏂᏁᎮᏍᏗ|dù:ni:ne:hé:sdi||du¹ni²ne²he³sdi|They will be having liquid things|duu1nii2nee2hee3sdi
ᎣᎩᏂᎸᏍᏗ|ò:gini:lv̀:sdi||o¹gị²ni²lv¹sdi|For him and me to climb it|oo1gi2nii2lvv1sdi
ᏕᎩᏂᏁᎮᏍᏗ|de:gini:ne:hé:sdi||de²gị²ni²ne²he³sdi|You and I will be having liquid things|dee2gi2nii2nee2hee3sdi
ᏙᎩᏂᏁᎮᏍᏗ|dò:gini:ne:hé:sdi||do¹gị²ni²ne²he³sdi|He and I will be having liquid things|doo1gi2nii2nee2hee3sdi
ᎢᎩᎸᏒᎢ|ì:gi:lv̂:sv̌:ɂi||i¹gi²lv³²sv²³ɂi|All of us climbed it a while ago|ii1gii2lvv32svv23-i
ᏓᎩᎾᎣᎢ|dà:gináó:ɂi||da¹gị²nạ³o³ɂi|I usually have flexible things|daa1gi2na3oo3-i
ᏗᏥᏁᏗ|dì:ji:nehdi||di¹ji²neh²di|For you all to have a liquid|dii1jii2neh2di
ᏕᏣᎾᎣᎢ|de:janáó:ɂi||de²jạ²nạ³o³ɂi|You usually have flexible things|dee2ja2na3oo3-i
ᏕᎦᏚᎲᏍᎦ|de:gádu:hv́sga||de²gạ³du²hṿ³sga|He is baking things|dee2ga3duu2hv3sga
ᎤᎥᏰᏍᏗ|ù:jv̌:yê:sdi||u¹jv²³ye³²sdi|He will be having something rod shaped|uu1jvv23yee32sdi
ᎤᏂᎾᎠ|ù:ni:náɂa||u¹ni²nạ³ɂa|They have something flexible|uu1nii2na3-a
ᎯᏯᎦᏙᏍᏔᏅᎢ|hi:yà:gà:tǒ:stánv̌:ɂi||hi²ya¹ga¹to²³stạ³nv²³ɂi|You looked at him a while ago|hii2yaa1gaa1too23sta3nvv23-i
ᎠᎦᏚᎵᏍᎪᎢ|à:gadu:lǐ:sgóɂi||a¹gạ²du²li²³sgọ³ɂi|He is often wanted|aa1ga2duu2lii23sgo3-i
ᏓᏂᎪᏩᏘᎭ|dà:ni:gowhtíha||da¹ni²gowh²tị³ha|They are seeing them|daa1nii2gowh2ti3ha
ᏕᏂᎪᏩᏘᎭ|dé:ni:gowhtíha||de³ni²gowh²tị³ha|You and I are seeing them (inanimate)|dee3nii2gowh2ti3ha
ᏕᏗᎪᏩᏘᎭ|dé:di:gowhtíha||de³di²gowh²tị³ha|All of us are seeing them (inanimate)|dee3dii2gowh2ti3ha
ᏙᏥᎪᏩᏘᎭ|dò:ji:gowhtíha||do¹ji²gowh²tị³ha|They and I are seeing them (inanimate)|doo1jii2gowh2ti3ha
ᏕᎯᎪᏩᏘᎭ|de:higowhtíha||de²hị²gowh²tị³ha|You are seeing them (inanimate)|dee2hi2gowh2ti3ha
ᏙᏍᏗᎪᏩᏘᎭ|dò:sdi:gowhtíha||do¹sdi²gowh²tị³ha|He and I are seeing them (inanimate)|doo1sdii2gowh2ti3ha
ᏣᎪᎲᎢ|jago:hv̌:ɂi||jạ²go²hv²³ɂi|You saw it a while ago; He saw you a while ago|ja2goo2hvv23-i
ᎠᎵᎢ|a:liɂi||a²lị²ɂi|Friendship|aa2li2-i
ᏕᎩᏍᏗᎬᎢ|dé:gì:sdí:gv̌:ɂi||de³gi¹sdi³gv²³ɂi|All of us ate rod shaped things a while ago|dee3gii1sdii3gvv23-i
ᏙᎩᏍᏗᎬᎢ|dò:gì:sdí:gv̌:ɂi||do¹gi¹sdi³gv²³ɂi|They and I ate rod shaped things a while ago|doo1gii1sdii3gvv23-i
ᏚᏂᏍᏗᎬᎢ|dù:nì:sdí:gv̌:ɂi||du¹ni¹sdi³gv²³ɂi|They ate rod shaped things a while ago|duu1nii1sdii3gvv23-i
ᏕᎩᏂᏍᏗᎬᎢ|de:ginì:sdí:gv̌:ɂi||de²gị²ni¹sdi³gv²³ɂi|You and I ate rod shaped things a while ago|dee2gi2nii1sdii3gvv23-i
ᏕᎯᏚᎲᏍᎪᎢ|de:hídu:hvsgó:ɂi||de²hị³du²hṿ²sgo³ɂi|You are usually baking things|dee2hi3duu2hv2sgoo3-i
ᎢᎩᎸᏍᏗ|ì:gi:lv̀:sdi||i¹gi²lv¹sdi|For all of us to climb it|ii1gii2lvv1sdi
ᏙᎩᏂᏍᏗᎬᎢ|dò:ginì:sdí:gv̌:ɂi||do¹gị²ni¹sdi³gv²³ɂi|He and I ate rod shaped things a while ago|doo1gi2nii1sdii3gvv23-i
ᏍᏓᏗᎭ|sdadiha||sdạ²dị²ha|You both are saying|sda2di2ha
ᎤᎾᎣᎢ|ù:náó:ɂi||u¹nạ³o³ɂi|He usually has something flexible|uu1na3oo3-i
ᎦᏗᏔᏍᎦ|gà:di:tásga||ga¹di²tạ³sga|I am drinking something|gaa1dii2ta3sga
ᎤᏂᏁᎰᎢ|ù:ni:ne:hó:ɂi||u¹ni²ne²ho³ɂi|They usually have a liquid|uu1nii2nee2hoo3-i
ᎣᎩᎾᎠ|ò:gi:náɂa||o¹gi²nạ³ɂa|They and I have something flexible|oo1gii2na3-a
ᎣᎩᏂᎾᎠ|ò:gini:náɂa||o¹gị²ni²nạ³ɂa|He and I have something flexible|oo1gi2nii2na3-a
ᏣᎮᏍᏗ|jahé:sdi||jạ²he³sdi|You will be having something solid|ja2hee3sdi
ᎢᏣᏓᎦᏙᏍᏔᏅᎢ|ì:jadà:ktǒ:stánv̌:ɂi||i¹jạ²da¹kto²³stạ³nv²³ɂi|You all looked at yourselves a while ago|ii1ja2daa1ktoo23sta3nvv23-i
ᎢᎩᏙᏓ|ì:gi:do:da||i¹gi²do²da|Your all's and my father|ii1gii2doo2da
ᏕᎯᏟᏏᏍᎪᎢ|de:híhli:sǐ:sgóɂi||de²hị³hli²si²³sgọ³ɂi|You are usually gathering things|dee2hi3hlii2sii23sgo3-i
ᏣᎸᏒᎢ|jalv̂:sv̌:ɂi||jạ²lv³²sv²³ɂi|You climbed it a while ago|ja2lvv32svv23-i
ᏕᏥᏚᎲᏍᎪᎢ|de:jídu:hvsgó:ɂi||de²jị³du²hṿ²sgo³ɂi|I am usually baking things|dee2ji3duu2hv2sgoo3-i
ᎢᏣᏗᎭ|ì:jadiha||i¹jạ²dị²ha|You all are saying|ii1ja2di2ha
ᎤᎾᎥᎢ|ù:náv̌:ɂi||u¹nạ³v²³ɂi|He had something flexible a while ago|uu1na3vv23-i
ᎣᎩᏁᎰᎢ|ò:gi:ne:hó:ɂi||o¹gi²ne²ho³ɂi|They and I usually have a liquid|oo1gii2nee2hoo3-i
ᎣᎩᏂᏁᎰᎢ|ò:gini:ne:hó:ɂi||o¹gị²ni²ne²ho³ɂi|He and I usually have a liquid|oo1gi2nii2nee2hoo3-i
ᎢᎩᎾᎠ|ì:gi:náɂa||i¹gi²nạ³ɂa|All of us have something flexible|ii1gii2na3-a
ᎦᎦᏙᏍᏓ|gagà:tǒ:sdā||gạ²ga¹to²³sda²|I recently looked at it|ga2gaa1too23sda2
ᏕᎪᎵᏨᎢ|dé:gohljv̌:ɂi||de³gohl²jv²³ɂi|All of us understood things a while ago|dee3gohl2jvv23-i
ᏙᎪᎵᏨᎢ|dò:gohljv̌:ɂi||do¹gohl²jv²³ɂi|They and I understood things a while ago|doo1gohl2jvv23-i
ᏚᏬᎵᏨᎢ|du:wohljv̌:ɂi||du²wohl²jv²³ɂi|He understood things a while ago; He recognized them (animate) a while ago|duu2wohl2jvv23-i
ᏚᏃᎵᏨᎢ|dù:nohljv̌:ɂi||du¹nohl²jv²³ɂi|They understood things a while ago; They recognized them (animate) a while ago|duu1nohl2jvv23-i
ᏕᎩᏃᎵᏨᎢ|de:ginohljv̌:ɂi||de²gị²nohl²jv²³ɂi|You and I understood things a while ago|dee2gi2nohl2jvv23-i
ᎡᎩᎪᏩᏘᏍᎪᎢ|è:gi:gowhtǐ:sgóɂi||e¹gi²gowh²ti²³sgọ³ɂi|All of us are usually seen|ee1gii2gowh2tii23sgo3-i
ᏙᎩᏃᎵᏨᎢ|dò:ginohljv̌:ɂi||do¹gị²nohl²jv²³ɂi|He and I understood things a while ago|doo1gi2nohl2jvv23-i
ᎡᏂᎪᏩᏘᏍᎪᎢ|è:ni:gowhtǐ:sgóɂi||e¹ni²gowh²ti²³sgọ³ɂi|You and I are often seeing him|ee1nii2gowh2tii23sgo3-i
ᎡᏗᎪᏩᏘᏍᎪᎢ|è:di:gowhtǐ:sgóɂi||e¹di²gowh²ti²³sgọ³ɂi|All of us are often seeing him|ee1dii2gowh2tii23sgo3-i
ᎡᏥᎪᏩᏘᏍᎪᎢ|è:ji:gowhtǐ:sgóɂi||e¹ji²gowh²ti²³sgọ³ɂi|You all are often seeing him; You all are usually seen|ee1jii2gowh2tii23sgo3-i
ᎨᏂᎪᏩᏘᏍᎪᎢ|ge:ni:gowhtǐ:sgóɂi||ge²ni²gowh²ti²³sgọ³ɂi|You and I are often seeing them (animate)|gee2nii2gowh2tii23sgo3-i
ᏕᏦᎵᎦ|dé:johlga||de³johl²ga|You all understand things|dee3johl2ga
ᎨᏗᎪᏩᏘᏍᎪᎢ|ge:di:gowhtǐ:sgóɂi||ge²di²gowh²ti²³sgọ³ɂi|All of us are often seeing them (animate)|gee2dii2gowh2tii23sgo3-i
ᏕᏍᏙᎵᎦ|de:sdohlga||de²sdohl²ga|You both understand things|dee2sdohl2ga
ᎨᏥᎪᏩᏘᏍᎪᎢ|ge:ji:gowhtǐ:sgóɂi||ge²ji²gowh²ti²³sgọ³ɂi|You all are often seeing them (animate); They are usually seen|gee2jii2gowh2tii23sgo3-i
ᎯᏯᏚᎵᏍᎪᎢ|hi:yadu:lǐ:sgóɂi||hi²yạ²du²li²³sgọ³ɂi|You usually are wanting him|hii2ya2duu2lii23sgo3-i
ᎠᏥᎪᏩᏘᏍᎪᎢ|à:jigowhtǐ:sgóɂi||a¹jị²gowh²ti²³sgọ³ɂi|He is usually seen|aa1ji2gowh2tii23sgo3-i
ᎢᏍᎩᏯᏚᎵᏍᎪᎢ|ì:sgi:yadu:lǐ:sgóɂi||i¹sgi²yạ²du²li²³sgọ³ɂi|You, two, or all usually are wanting us all; You all usually are wanting me|ii1sgii2ya2duu2lii23sgo3-i
ᎥᎩᎪᏩᏘᏍᎪᎢ|v̀:gigowhtǐ:sgóɂi||v¹gị²gowh²ti²³sgọ³ɂi|I am usually seen|vv1gi2gowh2tii23sgo3-i
ᎦᎯᏯᏚᎵᏍᎪᎢ|gahi:yadu:lǐ:sgóɂi||gạ²hi²yạ²du²li²³sgọ³ɂi|You usually are wanting them (animate)|ga2hii2ya2duu2lii23sgo3-i
ᎠᎩᎪᎲᎢ|à:gigo:hv̌:ɂi||a¹gị²go²hv²³ɂi|I saw it a while ago; He saw me a while ago|aa1gi2goo2hvv23-i
ᎢᏍᎩᏥ|ì:sgi:ji||i¹sgi²ji|You one, their and my mother|ii1sgii2ji
ᎦᏗᏍᎪᎢ|gadǐ:sgó:ɂi||gạ²di²³sgo³ɂi|I am often saying|ga2dii23sgoo3-i
ᏕᏂᏍᏗᎩᏍᎪᎢ|dé:nì:sdǐ:gî:sgó:ɂi||de³ni¹sdi²³gi³²sgo³ɂi|You and I usually are eating rod shaped things|dee3nii1sdii23gii32sgoo3-i
ᏕᎯᏍᏗᎩᏍᎪᎢ|de:hìsdǐ:gî:sgó:ɂi||de²hị¹sdi²³gi³²sgo³ɂi|You usually are eating rod shaped things|dee2hi1sdii23gii32sgoo3-i
ᏣᎸᏍᏗ|jalv̀:sdi||jạ²lv¹sdi|For you to climb it|ja2lvv1sdi
ᏓᎩᏍᏗᎬᎢ|dà:gìsdí:gv̌:ɂi||da¹gị¹sdi³gv²³ɂi|I ate rod shaped things a while ago|daa1gi1sdii3gvv23-i
ᏕᏥᏟᏏᏍᎪᎢ|de:jíhli:sǐ:sgóɂi||de²jị³hli²si²³sgọ³ɂi|I am usually gathering things|dee2ji3hlii2sii23sgo3-i
ᏙᏍᏗᏍᏗᎩᏍᎪᎢ|dò:sdì:sdǐ:gî:sgó:ɂi||do¹sdi¹sdi²³gi³²sgo³ɂi|He and I usually are eating rod shaped things|doo1sdii1sdii23gii32sgoo3-i
ᎢᎩᏁᎰᎢ|ì:gi:ne:hó:ɂi||i¹gi²ne²ho³ɂi|All of us usually have a liquid|ii1gii2nee2hoo3-i
ᏕᏦᎵᎦ|dé:johlgā||de³johl²ga²|You all recently understood things|dee3johl2ga2
ᎢᏥᏙᏓ|ì:ji:do:da||i¹ji²do²da|Your all's father|ii1jii2doo2da
ᎦᏚᎩᎠ|gaɂdǔ:gía||gạɂ²du²³gị³a|I am drinking something alcoholic|ga-2duu23gi3a
ᏕᏥᏰᏍᎪᎢ|dé:ji:hyé:sgó:ɂi||de³ji²hye³sgo³ɂi|You all usually are eating flexible things|dee3jii2hyee3sgoo3-i
ᎤᏍᏗᎬᎢ|ù:sdí:gv̌:ɂi||u¹sdi³gv²³ɂi|He ate something rod shaped a while ago|uu1sdii3gvv23-i
ᎤᏂᏯᎥᎢ|ù:ni:hyá:ɂv̌:ɂi||u¹ni²hya³ɂv²³ɂi|They ate something flexible a while ago|uu1nii2hyaa3-vv23-i
ᎢᎩᏁᎲᎢ|ì:gi:ne:hv̌:ɂi||i¹gi²ne²hv²³ɂi|All of us had a liquid a while ago|ii1gii2nee2hvv23-i
ᎠᎩᎮᏍᏗ|à:gihé:sdi||a¹gị²he³sdi|I will be having something solid|aa1gi2hee3sdi
ᎣᏦᎵᏍᏗ|ò:jo:lí:sdi||o¹jo²li³sdi|For them and me to recognize him|oo1joo2lii3sdi
ᎣᏍᏙᎵᏍᏗ|ò:sdo:lí:sdi||o¹sdo²li³sdi|For him and me to recognize him|oo1sdoo2lii3sdi
ᎢᏨᏙᏓ|ì:jv:do:da||i¹jv²do²da|I, your all's father|ii1jvv2doo2da
ᏚᏚᎩᏒᎢ|dù:tǔ:gî:sv̌:ɂi||du¹tu²³gi³²sv²³ɂi|He drank alcoholic drinks a while ago|duu1tuu23gii32svv23-i
ᏕᎦᏚᎩᏒᎢ|dé:gàtǔ:gî:sv̌:ɂi||de³gạ¹tu²³gi³²sv²³ɂi|All of us drank alcoholic drinks a while ago|dee3ga1tuu23gii32svv23-i
ᏙᎦᏚᎩᏒᎢ|dò:gàtǔ:gî:sv̌:ɂi||do¹gạ¹tu²³gi³²sv²³ɂi|They and I drank alcoholic drinks a while ago|doo1ga1tuu23gii32svv23-i
ᏚᎾᏚᎩᏒᎢ|dù:nàtǔ:gî:sv̌:ɂi||du¹nạ¹tu²³gi³²sv²³ɂi|They drank alcoholic drinks a while ago|duu1na1tuu23gii32svv23-i
ᏕᎩᎾᏚᎩᏒᎢ|de:ginàtǔ:gî:sv̌:ɂi||de²gị²nạ¹tu²³gi³²sv²³ɂi|You and I drank alcoholic drinks a while ago|dee2gi2na1tuu23gii32svv23-i
ᏙᎩᎾᏚᎩᏒᎢ|dò:ginàtǔ:gî:sv̌:ɂi||do¹gị²nạ¹tu²³gi³²sv²³ɂi|He and I drank alcoholic drinks a while ago|doo1gi2na1tuu23gii32svv23-i
ᎠᎩᎸᏒᎢ|à:gilv̂:sv̌:ɂi||a¹gị²lv³²sv²³ɂi|I climbed it a while ago|aa1gi2lvv32svv23-i
ᎦᎭᏗᏔ|ga:dǐ:tā||ga²di²³ta²|I recently drank something|gaa2dii23ta2
ᏕᏣᏍᏗᎬᎢ|de:jàsdí:gv̌:ɂi||de²jạ¹sdi³gv²³ɂi|You ate rod shaped things a while ago|dee2ja1sdii3gvv23-i
ᎣᎩᏂᏯᎥᎢ|ò:gini:hyá:ɂv̌:ɂi||o¹gị²ni²hya³ɂv²³ɂi|He and I ate something flexible a while ago|oo1gi2nii2hyaa3-vv23-i
ᏣᏁᎰᎢ|jane:hó:ɂi||jạ²ne²ho³ɂi|You usually have a liquid|ja2nee2hoo3-i
ᎣᏦᎵᏨᎢ|ò:jo:li:jv̌:ɂi||o¹jo²li²jv²³ɂi|They and I recognized him a while ago|oo1joo2lii2jvv23-i
ᎣᏍᏙᎵᏨᎢ|ò:sdo:li:jv̌:ɂi||o¹sdo²li²jv²³ɂi|He and I recognized him a while ago|oo1sdoo2lii2jvv23-i
ᎢᏃᎵᎩ|ì:nohlgi||i¹nohl²gi|Let you and me understand it|ii1nohl2gi
ᎢᏙᎵᎩ|ì:dohlgi||i¹dohl²gi|Let all of us understand it|ii1dohl2gi
ᏕᏥᎪᏩᏘᏍᎪᎢ|de:jigowhtǐ:sgóɂi||de²jị²gowh²ti²³sgọ³ɂi|I am often seeing them (inanimate)|dee2ji2gowh2tii23sgo3-i
ᎣᎩᏙᏓ|o:gi:do:da||o²gi²do²da|Their and my father|oo2gii2doo2da
ᏥᏰᏍᎪᎢ|jiyé:sgó:ɂi||jị²ye³sgo³ɂi|I am usually eating something flexible|ji2yee3sgoo3-i
ᏕᎩᏂᎧᎮᏍᏗ|de:gini:kahé:sdi||de²gị²ni²kạ²he³sdi|You and I will be having living things|dee2gi2nii2ka2hee3sdi
ᎠᎩᎸᏍᏗ|à:gilv̀:sdi||a¹gị²lv¹sdi|For me to climb it|aa1gi2lvv1sdi
ᏍᏕᏅᏒᎢ|sde:nv́:sv̌:ɂi||sde²nv³sv²³ɂi|You both went a while ago|sdee2nvv3svv23-i
ᎤᏃᎵᏍᏗ|ù:no:hlísdi||u¹no²hlị³sdi|For them to understand it; For them to recognize him|uu1noo2hli3sdi
ᎣᏦᎵᎦ|ò:johlga||o¹johl²ga|They and I understand it|oo1johl2ga
ᎣᏍᏙᎵᎦ|ò:sdohlga||o¹sdohl²ga|He and I understand it|oo1sdohl2ga
ᎤᏂᏙᏓ|u:ni:do:da||u²ni²do²da|Their father|uu2nii2doo2da
ᏓᏊᏗᏔᎲᎢ|dà:gwù:di:tahv̌:ɂi||da¹gwu¹di²tạ²hv²³ɂi|I drank drinks a while ago|daa1gwuu1dii2ta2hvv23-i
ᏥᎠᏗᎠ|jigà:taha||jị²ga¹tạ²ha|I know how|ji2gaa1ta2ha
ᏕᏧᏗᏔᎲᎢ|de:jù:di:tahv̌:ɂi||de²ju¹di²tạ²hv²³ɂi|You drank drinks a while ago|dee2juu1dii2ta2hvv23-i
ᏙᎩᎾᎡᏍᏗ|dò:gi:náé:sdi||do¹gi²nạ³e³sdi|They and I will be having flexible things|doo1gii2na3ee3sdi
ᏚᏂᏲᏏᏌ|dù:ni:yò:sǐ:sā||du¹ni²yo¹si²³sa²|They were recently hungry|duu1nii2yoo1sii23sa2
ᏍᏕᏅᏍᏗ|sde:nv̀:sdi||sde²nv¹sdi|For you both to go|sdee2nvv1sdi
ᎢᏤᏅᏒᎢ|ì:je:nv́:sv̌:ɂi||i¹je²nv³sv²³ɂi|You all went a while ago|ii1jee2nvv3svv23-i
ᎤᏪᏅᏒᎢ|ù:we:nv́:sv̌:ɂi||u¹we²nv³sv²³ɂi|He went a while ago|uu1wee2nvv3svv23-i
ᎠᎭᏗᏔ|a:dǐ:tā||a²di²³ta²|He recently drank something|aa2dii23ta2
ᎠᎩᎾᎠ|à:gináɂa||a¹gị²nạ³ɂa|I have something flexible|aa1gi2na3-a
ᎣᎪᎵᏍᏗ|ò:go:hlísdi||o¹go²hlị³sdi|For them and me to understand it; For him to recognize them and me; For them and me to be recognized|oo1goo2hli3sdi
ᎩᏃᎵᏍᏗ|gino:hlísdi||gị²no²hlị³sdi|For you and me to understand it; For him to recognize you and me|gi2noo2hli3sdi
ᎣᎩᏃᎵᏍᏗ|ò:gino:hlísdi||o¹gị²no²hlị³sdi|For him and me to understand it; For him to recognize him and me; For him and me to be recognized|oo1gi2noo2hli3sdi
ᎣᏦᎵᎦ|ò:johlgā||o¹johl²ga²|They and I recently understood it|oo1johl2ga2
ᎣᏍᏙᎵᎦ|ò:sdohlgā||o¹sdohl²ga²|He and I recently understood it|oo1sdohl2ga2
ᎦᎯᏙᏓ|gahi:do:da||gạ²hi²do²da|You one, their father|ga2hii2doo2da
ᏚᏭᏗᏔᎲᎢ|du:wù:di:tahv̌:ɂi||du²wu¹di²tạ²hv²³ɂi|He drank drinks a while ago|duu2wuu1dii2ta2hvv23-i
ᏕᎩᏂᏟᏌᏅᎢ|de:giní:hli:sahnv̌:ɂi||de²gị²ni³hli²sạ²hnv²³ɂi|You and I gathered things a while ago|dee2gi2nii3hlii2sa2hnvv23-i
ᎢᏤᏅᏍᏗ|ì:je:nv̀:sdi||i¹je²nv¹sdi|For you all to go|ii1jee2nvv1sdi
ᎤᏪᏅᏍᏗ|ù:we:nv̀:sdi||u¹we²nv¹sdi|For him to go|uu1wee2nvv1sdi
ᏕᏥᎾᎣᎢ|dé:ji:náó:ɂi||de³ji²nạ³o³ɂi|You all usually have flexible things|dee3jii2na3oo3-i
ᏕᏍᏗᎾᎣᎢ|de:sdi:náó:ɂi||de²sdi²nạ³o³ɂi|You both usually have flexible things|dee2sdii2na3oo3-i
ᎠᎩᏁᎰᎢ|à:gine:hó:ɂi||a¹gị²ne²ho³ɂi|I usually have a liquid|aa1gi2nee2hoo3-i
ᎢᎪᎵᏍᏗ|ì:go:hlísdi||i¹go²hlị³sdi|For all of us to understand it; For him to recognize all of us|ii1goo2hli3sdi
ᎦᏥᏥ|gaji:ji||gạ²ji²ji|I, their mother|ga2jii2ji
ᏚᏅᏖᏍᏗ|du:nhté:sdi||du²nhte³sdi|He will be knowing things|duu2nhtee3sdi
