ID|PSET|ALT_PRONOUNCE|PRONOUN|VERB|GENDER|SYLLABARY|PRONOUNCE|ENGLISH|INTRO NOTE|END NOTE|APP_FILE
128|||Ꭲ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᎢᎾᏓᎪᏩᏔ|ì:nada:gò:wahta|Let you (1) and me see ourselves|||ii1na2daa2goo1wah2ta
129|||Ꭱ¹Ꭹ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᎪᎵᎦ|è:go:lì:ga|All of us are being recognized|||ee1goo2lii1ga
130|||Ꭸ²Ꮳ̣²-, Ꭸ²Ꮳ̣²-|Ꭳ²Ꮅ³ᏍᏗ||ᎨᏦᎵᏍᏗ|ge:jo:hlísdi|For them to recognize you (1)|||gee2joo2hli3sdi
131|||Ꭰ¹Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎠᏓᎪᏩᏔ|à:da:gò:wahtā|He recently saw himself|||aa1daa2goo1wah2ta2
132|||Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏣᏓᎪᎲᎢ|jada:go:hv̌:ɂi|You (1) saw yourself a while ago|||ja2daa2goo2hvv23-i
133|||Ꮧ̣²Ꮒ²-|ɂ¹Ꮯ²³Ꮜ||ᏫᏗᏂᏟᏌ|widinì:hlǐ:sa|Let them gather things|||wi2di2nii1hlii23sa
134|||Ꮧ̣²Ꮳ̣²-|Ꭰ²Ꮴ²Ꮅ⁴Ꭲ||ᏗᏣᏤᎵᎢ|dijaje:li̋:ɂi|Your things; You all, your things|||di2jaa2jee2lii4-i
135|||Ꮧ̣²Ꮧ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏗᏓᏚᎩ|didatǔ:gi|Let all of us drink alcoholic drinks|||di2da2tuu23gi
136|||Ꮧ̣²Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭰ̣²Ꮪ²³Ꮃ||ᏗᎦᏓᏚᎳ|digadadǔ:la|Let all of us want each other|||di2ga2da2duu23la
137|||Ꭸ²Ꭹ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎨᎦᏚᎳ|ge:gadǔ:lā|They recently wanted all of us; They were recently wanted|||gee2ga2duu23la2
138|||Ꭲ¹Ꭹ²-|Ꭽ||ᎢᎩᎭ|ì:gi:ha|All of us have something solid|||ii1gii2ha
139|||Ꭿ̣²-|Ꭱ³Ꭶ||ᎮᎦ|hé:ga|You (1) are going|||hee3ga
140|||Ꮥ³Ꮧ²-|ɂᏰ³Ꭰ||ᏕᏗᏰᎠ|dé:di:hyé:ɂa|All of us are eating flexible things|||dee3dii2hyee3-a
141|||Ꮧ̣²Ꭹ²-|ɂᎪ³Ꮧ||ᏗᎩᎪᏗ|digi:kóhdi|For all of us to have living things|||di2gii2koh3di
142|||Ꭲ¹Ꮣ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᎢᏓᏓᎪᏩᏔ|ì:dada:gò:wahta|Let all of us see ourselves|||ii1da2daa2goo1wah2ta
143|||Ꭱ¹Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏃᎵᎦ|è:no:lì:ga|You (1) and I recognize him|||ee1noo2lii1ga
144|||Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎦᏓᎪᏩᏔ|gada:gò:wahtā|I recently saw myself|||ga2daa2goo1wah2ta2
145|||Ꮶ¹ᏍᏗ²-|ɂ¹Ꮯ²³Ꮜ||ᏫᏦᏍᏗᏟᏌ|wijò:sdì:hlǐ:sa|Let him and me gather things|||wi2joo1sdii1hlii23sa
146|||ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏍᏓᏓᎪᎲᎢ|sdada:go:hv̌:ɂi|You both saw yourselves a while ago|||sdaa2daa2goo2hvv23-i
147|||Ꮶ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏦᎦᏓᏙᎵᏍᏗ|jò:gada:do:hlísdi|For them and me to be acquainted|||joo1ga2daa2doo2hli3sdi
148|||Ꮧ̣²Ꮵ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏗᏣᏚᎩ|dijatǔ:gi|Let you all drink alcoholic drinks|||di2ja2tuu23gi
149|||Ꮧ̣²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭰ̣²Ꮪ²³Ꮃ||ᏗᎩᎾᏓᏚᎳ|diginadadǔ:la|Let you (1) and me want each other|||di2gi2na2da2duu23la
150|||Ꭺ²Ꭹ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎪᎦᏚᎳ|go:gadǔ:lā|They recently wanted them and me|||goo2ga2duu23la2
151|||Ꭳ¹Ꭹ²-|Ꭽ||ᎣᎩᎭ|ò:gi:ha|They and I have something solid|||oo1gii2ha
152|||ᏍᏗ²-|Ꭱ³Ꭶ||ᏍᏕᎦ|sdé:ga|You both are going|||sdee3ga
153|||Ꮩ¹Ꮵ²-|ɂᏰ³Ꭰ||ᏙᏥᏰᎠ|dò:ji:hyé:ɂa|They and I are eating flexible things|||doo1jii2hyee3-a
154|||Ꮧ̣²ᏍᏗ²-|ɂᎪ³Ꮧ||ᏗᏍᏗᎪᏗ|disdi:kóhdi|For you both to have living things|||di2sdii2koh3di
155|||Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᎾᏓᎪᏩᏔ|dinada:gò:wahta|Let you (1) and me see each other|||di2na2daa2goo1wah2ta
156|||Ꭱ¹Ꮧ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏙᎵᎦ|è:do:lì:ga|All of us recognize him|||ee1doo2lii1ga
157|||Ꮷ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏧᎾᏓᏙᎵᏍᏗ|jù:nada:do:hlísdi|For them to be acquainted|||juu1na2daa2doo2hli3sdi
158|||Ꭰ¹Ꮖ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎠᏆᏓᎪᎲᎢ|à:gwada:go:hv̌:ɂi|I saw myself a while ago|||aa1gwaa2daa2goo2hvv23-i
159|||Ꭰ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎠᎾᏓᎪᏩᏔ|à:nada:gò:wahtā|They recently saw themselves|||aa1naa2daa2goo1wah2ta2
160|||Ꮧ̣³Ꮒ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏗᎾᏚᎩ|dínatǔ:gi|Let you (1) and me drink alcoholic drinks|||di3na2tuu23gi
161|||Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎬᏆᏚᎳ|gv:gwadǔ:lā|They recently wanted me|||gvv2gwa2duu23la2
162|||Ꭴ¹Ꮒ²-|Ꭽ||ᎤᏂᎭ|ù:ni:ha|They have something solid|||uu1nii2ha
163|||Ꮩ¹ᏍᏗ²-|ɂᏰ³Ꭰ||ᏙᏍᏗᏰᎠ|dò:sdi:hyé:ɂa|He and I are eating flexible things|||doo1sdii2hyee3-a
164|||Ꮧ̣¹Ꭹ̣²-, Ꮧ̣¹Ꮖ͓-|ɂᎪ³Ꮧ||ᏗᎩᎪᏗ|dìgikóhdi|For me to have living things|||di1gi2koh3di
165|||Ꮧ̣²Ꮣ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏓᏓᎪᏩᏔ|didada:gò:wahta|Let all of us see each other|||di2da2daa2goo1wah2ta
166|||Ꭱ¹Ꮵ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏦᎵᎦ|è:jo:lì:ga|You all recognize him; You all are being recognized|||ee1joo2lii1ga
167|||Ꭲ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎢᎦᏓᎪᎲᎢ|ì:gada:go:hv̌:ɂi|All of us saw ourselves a while ago|||ii1ga2daa2goo2hvv23-i
168|||Ꭳ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎣᏣᏓᎪᏩᏔ|ò:jada:gò:wahtā|They and I recently saw ourselves|||oo1ja2daa2goo1wah2ta2
169|||Ꮶ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭳ²Ꮅ³ᏍᏗ||ᏦᎩᎾᏓᏙᎵᏍᏗ|jò:ginada:do:hlísdi|For him and me to be acquainted|||joo1gi2na2daa2doo2hli3sdi
170|||Ꮧ̣²-, Ꮧ̣²Ꭶ̣²-|Ꭰ̣²Ꮪ²³Ꭹ||ᏫᏓᏚᎩ|widatǔ:gi|Let him drink alcoholic drinks|||wi2da2tuu23gi
171|||Ꭸ²Ꭹ̣²Ꮒ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎨᎩᎾᏚᎳ|ge:ginadǔ:lā|They recently wanted you (1) and me|||gee2gi2na2duu23la2
172|||Ꮥ³Ꭹ²-|Ꭽ||ᏕᎩᎭ|dé:gi:ha|All of us have solid things|||dee3gii2ha
173|||Ꮧ̣²Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏣᏓᎪᏩᏔ|dijada:gò:wahta|Let you all see each other|||di2ja2daa2goo1wah2ta
174|||Ꭲ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎢᏣᏓᎪᎲᎢ|ì:jada:go:hv̌:ɂi|You all saw yourselves a while ago|||ii1ja2daa2goo2hvv23-i
175|||Ꭺ²Ꭹ̣²Ꮒ²-|Ꭰ̣²Ꮪ²³Ꮃ²||ᎪᎩᎾᏚᎳ|go:ginadǔ:lā|They recently wanted him and me|||goo2gi2na2duu23la2
176|||Ꮥ³Ꮵ²-|Ꭽ||ᏕᏥᎭ|dé:ji:ha|You all have solid things|||dee3jii2ha
177|||Ꮧ̣²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏗᏍᏓᏓᎪᏩᏔ|disdada:gò:wahta|Let you both see each other|||di2sdaa2daa2goo1wah2ta
178|||Ꭸ²Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏃᎵᎦ|ge:no:lì:ga|You (1) and I recognize them (animate)|||gee2noo2lii1ga
179|||Ꭳ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎣᎦᏓᎪᎲᎢ|ò:gada:go:hv̌:ɂi|They and I saw ourselves a while ago|||oo1ga2daa2goo2hvv23-i
180|||Ꮩ¹Ꭹ²-|Ꭽ||ᏙᎩᎭ|dò:gi:ha|They and I have solid things|||doo1gii2ha
181|||Ꭲ¹Ꮵ²-|Ꭱ³Ꭶ||ᎢᏤᎦ|ì:jé:ga|You all are going|||ii1jee3ga
182|||Ꮶ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏫᏦᏣᏓᎪᏩᏔ|wijò:jada:gò:wahta|Let them and me see each other|||wi2joo1ja2daa2goo1wah2ta
183|||Ꭸ²Ꮧ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏙᎵᎦ|ge:do:lì:ga|All of us recognize them (animate)|||gee2doo2lii1ga
184|||Ꭴ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎤᎾᏓᎪᎲᎢ|ù:nada:go:hv̌:ɂi|They saw themselves a while ago|||uu1na2daa2goo2hvv23-i
185|||Ꮪ¹Ꮒ²-|Ꭽ||ᏚᏂᎭ|dù:ni:ha|They have solid things|||duu1nii2ha
186|||Ꮶ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ||ᏫᏦᏍᏓᏓᎪᏩᏔ|wijò:sdada:gò:wahta|Let him and me see each other|||wi2joo1sda2daa2goo1wah2ta
187|||Ꭸ²Ꮵ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏦᎵᎦ|ge:jo:lì:ga|You all recognize them (animate)|||gee2joo2lii1ga
188|||Ꮥ³Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᎦᏓᎪᎲᎢ|dé:gada:go:hv̌:ɂi|All of us saw each other a while ago|||dee3ga2daa2goo2hvv23-i
189|||Ꭹ̣²Ꮒ²-|Ꭽ||ᎩᏂᎭ|gini:ha|You (1) and I have something solid|||gi2nii2ha
190|||Ꮥ³Ꮳ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᏣᏓᎪᎲᎢ|dé:jada:go:hv̌:ɂi|You all saw each other a while ago|||dee3ja2daa2goo2hvv23-i
191|||Ꭳ¹ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ¹Ꮹ²Ꮤ²||ᎣᏍᏓᏓᎪᏩᏔ|ò:sdada:gò:wahtā|He and I recently saw ourselves|||oo1sda2daa2goo1wah2ta2
192|||Ꮥ²ᏍᏗ²-|Ꭽ||ᏕᏍᏗᎭ|de:sdi:ha|You both have solid things|||dee2sdii2ha
193|||Ꮩ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏙᎦᏓᎪᎲᎢ|dò:gada:go:hv̌:ɂi|They and I saw each other a while ago|||doo1ga2daa2goo2hvv23-i
194|||Ꭳ¹Ꭹ̣²Ꮒ²-|Ꭽ||ᎣᎩᏂᎭ|ò:gini:ha|He and I have something solid|||oo1gi2nii2ha
195|||Ꮪ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏚᎾᏓᎪᎲᎢ|dù:nada:go:hv̌:ɂi|They saw each other a while ago|||duu1na2daa2goo2hvv23-i
196|||Ꮥ²Ꭹ̣²Ꮒ²-|Ꭽ||ᏕᎩᏂᎭ|de:gini:ha|You (1) and I have solid things|||dee2gi2nii2ha
197|||Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎩᎾᏓᎪᎲᎢ|ginada:go:hv̌:ɂi|You (1) and I saw ourselves a while ago|||gi2na2daa2goo2hvv23-i
198|||Ꮩ¹Ꭹ̣²Ꮒ²-|Ꭽ||ᏙᎩᏂᎭ|dò:gini:ha|He and I have solid things|||doo1gi2nii2ha
199|||Ꮥ²Ꮵ̣²-, Ꮥ²Ꭶ͓-|Ꭳ²Ꮅ¹Ꭶ*||ᏕᎪᎵᎦ|de:go:lì:ga|I understand things|||dee2goo2lii1ga
200|||Ꮥ²ᏍᏓ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᏍᏓᏓᎪᎲᎢ|de:sdada:go:hv̌:ɂi|You both saw each other a while ago|||dee2sdaa2daa2goo2hvv23-i
201|||Ꭳ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᎣᎩᎾᏓᎪᎲᎢ|ò:ginada:go:hv̌:ɂi|He and I saw ourselves a while ago|||oo1gi2na2daa2goo2hvv23-i
202|||Ꭱ¹ᏍᏗ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎡᏍᏙᎵᎦ|è:sdo:lì:ga|You both recognize him; You both are being recognized|||ee1sdoo2lii1ga
203|||Ꮥ²Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏕᎩᎾᏓᎪᎲᎢ|de:ginada:go:hv̌:ɂi|You (1) and I saw each other a while ago|||dee2gi2na2daa2goo2hvv23-i
204|||Ꭸ²ᏍᏗ²-|Ꭳ²Ꮅ¹Ꭶ*||ᎨᏍᏙᎵᎦ|ge:sdo:lì:ga|You both recognize them (animate); They recognize you both|||gee2sdoo2lii1ga
205|||Ꮩ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|Ꭺ²Ꮂ²³Ꭲ||ᏙᎩᎾᏓᎪᎲᎢ|dò:ginada:go:hv̌:ɂi|He and I saw each other a while ago|||doo1gi2na2daa2goo2hvv23-i
206|||Ꭿ̣²-|Ꭱ¹Ꮎ||ᎮᎾ|hè:na|Let you (1) go|||hee1na
207||||Ꭴ²Ꮵ||ᎤᏥ|u:ji|His mother|||uu2ji
208|||Ꭴ¹-, Ꭴ¹Ꮹ͓-|Ꮀ³Ꭲ||ᎤᎰᎢ|ù:hó:ɂi|He usually has something solid|||uu1hoo3-i
209|||Ꭰ̣²-, Ꭶ̣²-|Ꭱ¹Ꮎ²||ᎡᎾ|è:nā|He recently went|||ee1na2
210|||Ꮶ¹Ꭹ²-|ɂ¹ᏘᏗ||ᏦᎩᏘᏗ|jò:gì:tdi|For them and me to bake things|||joo1gii1tdi
211|||Ꮧ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏗᎾᏓᏙᎵᎩ|dinada:dohlgi|Let you (1) and me be acquainted|||di2na2daa2dohl2gi
212|||Ꮳ̣²-, Ꮳ̣²-|ᎣᎵ͓²Ꭶ²||ᏦᎵᎦ|johlgā|He recently recognized you (1)|||johl2ga2
213|||Ꮣ̣²-, Ꮥ²Ꭶ̣²-|ᏍᏗ²³Ꭶ²||ᏓᏍᏗᎦ|dasdǐ:gā|He recently ate rod shaped things|||da2sdii23ga2
214|||Ꭰ¹Ꮵ̣²-, Ꭰ¹Ꭶ͓-|Ꭳ²Ꮅ¹Ꭶ²*||ᎠᎪᎵᎦ|à:go:lì:gā|He was recently recognized|||aa1goo2lii1ga2
215|||Ꮣ¹Ꮒ²-|ɂ¹Ꮯ²³Ꮜ²||ᏓᏂᏟᏌ|dà:nì:hlǐ:sā|They recently gathered things|||daa1nii1hlii23sa2
216|||Ꮶ¹Ꭶ̣²Ꮣ²[Ꮣ͓]-|ᎪᏩ͓²Ꮫ³Ꮧ||ᏦᎦᏓᎪᏩᏛᏗ|jò:gada:gowhtv́hdi|For them and me to see each other|||joo1ga2daa2gowh2tvh3di
217|||Ꮧ̣²Ꮵ̣²-, Ꮧ̣²Ꭶ͓-|Ꭰ̣²Ꮪ²³Ꭹ*||ᏫᏗᎦᏚᎩ|widigaɂdǔ:gi|Let me drink alcoholic drinks|||wi2di2ga-2duu23gi
218|||ᏍᏗ²-|Ꭱ¹Ꮎ||ᏍᏕᎾ|sdè:na|Let you both go|||sdee1na
219|||Ꮪ²-, Ꮪ²Ꮹ͓-|Ꮀ³Ꭲ||ᏚᎰᎢ|du:hó:ɂi|He usually has solid things|||duu2hoo3-i
220|||Ꮵ̣²-, Ꭶ͓-|Ꭱ¹Ꮎ²||ᎨᎾ|gè:nā|I recently went|||gee1na2
221|||Ꮷ¹Ꮒ²-|ɂ¹ᏘᏗ||ᏧᏂᏘᏗ|jù:nì:tdi|For them to bake things|||juu1nii1tdi
222|||Ꭱ¹Ꮳ̣²-, Ꭱ¹Ꮳ̣²-|ᎣᎵ͓²Ꭶ||ᎡᏦᎵᎦ|è:johlga|You (1) are being recognized|||ee1johl2ga
223|||Ꮧ̣²Ꮣ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏗᏓᏓᏙᎵᎩ|didada:dohlgi|Let all of us be acquainted|||di2da2daa2dohl2gi
224|||Ꭱ¹Ꭹ²-|Ꭳ²Ꮅ¹Ꭶ²*||ᎡᎪᎵᎦ|è:go:lì:gā|All of us were recently recognized|||ee1goo2lii1ga2
225|||Ꮥ³Ꮒ²-|ɂ¹Ꮯ²³Ꮜ²||ᏕᏂᏟᏌ|dé:nì:hlǐ:sā|You (1) and I recently gathered things|||dee3nii1hlii23sa2
226|||Ꮷ¹Ꮎ̣²Ꮣ²[Ꮣ͓]-|ᎪᏩ͓²Ꮫ³Ꮧ||ᏧᎾᏓᎪᏩᏛᏗ|jù:nada:gowhtv́hdi|For them to see each other|||juu1na2daa2gowh2tvh3di
227|||Ꭲ¹Ꮒ²-|Ꭱ¹Ꮎ||ᎢᏁᎾ|ì:nè:na|Let you (1) and me go|||ii1nee1na
228|||Ꭰ¹Ꮒ²-|Ꭱ¹Ꮎ²||ᎠᏁᎾ|à:nè:nā|They recently went|||aa1nee1na2
229|||Ꭲ¹Ꭹ²-|Ꭵ²³Ꮜ||ᎢᎬᏌ|ì:gv̌:sa|Ourselves, you all and I|||ii1gvv23sa
230|||Ꮧ̣²Ꭹ²-|ɂ¹ᏘᏗ||ᏗᎩᏘᏗ|digì:tdi|For all of us to bake things|||di2gii1tdi
231|||Ꭸ²Ꮳ̣²-, Ꭸ²Ꮳ̣²-|ᎣᎵ͓²Ꭶ||ᎨᏦᎵᎦ|ge:johlga|They recognize you (1)|||gee2johl2ga
232|||Ꮶ¹Ꮳ̣²Ꮣ²[Ꮣ͓]-|ᎣᎵ͓²Ꭹ||ᏫᏦᏣᏓᏙᎵᎩ|wijò:jada:dohlgi|Let them and me be acquainted|||wi2joo1ja2daa2dohl2gi
233|||Ꭱ¹Ꮒ²-|Ꭳ²Ꮅ¹Ꭶ²*||ᎡᏃᎵᎦ|è:no:lì:gā|You (1) and I recently recognized him|||ee1noo2lii1ga2
234|||Ꮥ³Ꮧ²-|ɂ¹Ꮯ²³Ꮜ²||ᏕᏗᏟᏌ|dé:dì:hlǐ:sā|All of us recently gathered things|||dee3dii1hlii23sa2
235|||Ꮶ¹Ꭹ̣²Ꮎ̣²Ꮣ²[Ꮣ͓]-|ᎪᏩ͓²Ꮫ³Ꮧ||ᏦᎩᎾᏓᎪᏩᏛᏗ|jò:ginada:gowhtv́hdi|For him and me to see each other|||joo1gi2na2daa2gowh2tvh3di
236|||Ꭲ¹Ꮧ²-|Ꭱ¹Ꮎ||ᎢᏕᎾ|ì:dè:na|Let all of us go|||ii1dee1na
237|||Ꭳ¹Ꮵ²-|Ꭱ¹Ꮎ²||ᎣᏤᎾ|ò:jè:nā|They and I recently went|||oo1jee1na2
238|||Ꭳ¹Ꭹ²-|Ꭵ²³Ꮜ||ᎣᎬᏌ|ò:gv̌:sa|Ourselves, they and I|||oo1gvv23sa
239|||Ꮷ²-, Ꮷ²Ꮹ͓-|ɂ¹ᏘᏗ||ꮷꮹᏘᏗ|ju:wà:tdi|For him to bake things|||juu2waa1tdi
