	#MULTI-FORMS								
vti, de	Ꮥ²Ꭹ̣²Ꮒ²-	De²gị²ni²-	You one and I, we	them (inanimate)	b	Ꮧ̣²Ꭹ̣²Ꮒ²-	Dị²gị²ni²-	You one and I, our	
	#R5								
									
vta, alt	Ꭳ¹ᏍᏗ²-	O¹sdi²-	He and I, we	him					
vi, vti	Ꭳ¹ᏍᏗ²-	O¹sdi²-	He and I, we	it	a			He and I, our	
vi, vti	Ꭳ¹Ꭹ̣²Ꮒ²-	O¹gị²ni²-	He and I, we	it	b			He and I, our	
									
vta, alt	Ꭺ²ᏍᏗ²-	Go²sdi²-	He and I, we	them (animate)					
vti, de	Ꮩ¹ᏍᏗ²-	Do¹sdi²-	He and I, we	them (inanimate)	a	Ꮶ¹ᏍᏗ²-	jo¹sdi²-	He and I, our	
vti, de	Ꮩ¹Ꭹ̣²Ꮒ²-	Do¹gị²ni²-	He and I, we	them (inanimate)	b	Ꮶ¹Ꭹ̣²Ꮒ²-	jo¹gị²ni²-	He and I, our	
	#R6								
vta, alt	Ꭱ¹Ꮧ²-	E¹di²-	You all and I, we	him					
vi, vti	Ꭲ¹Ꮧ²-	I¹di²-	You all and I, we	it	a			You all and I, our	
vi, vti	Ꭲ¹Ꭹ²-	I¹gi²-	You all and I, we	it	b			You all and I, our	
vta, alt	Ꭸ²Ꮧ²-	Ge²di²-	You all and I, we	them (animate)					
vti, de	Ꮥ³Ꮧ²-	De³di²-	You all and I, we	them (inanimate)	a	Ꮧ̣²Ꮧ̣²-	Dị²di²-	You all and I, our	
vti, de	Ꮥ³Ꭹ²-	De³gi²-	You all and I, we	them (inanimate)	b	Ꮧ̣²Ꭹ²-	Dị²gi²-	You all and I, our	
	#R7								
									
vta, alt	Ꭳ¹Ꮵ²-	O¹ji²-	They and I, we	him					
vi, vti	Ꭳ¹Ꮵ²-	O¹ji²-	They and I, we	it	a			They and I, our	
vi, vti	Ꭳ¹Ꭹ²-	O¹gi²-	They and I, we	it	b			They and I, our	
									
vta, alt	Ꭺ²Ꮵ²-	Go²ji²-	They and I, we	them (animate)					
vti, de	Ꮩ¹Ꮵ²-	Do¹ji²-	They and I, we	them (inanimate)	a	Ꮶ¹Ꮵ²-	jo¹ji²-	They and I, our	
vti, de	Ꮩ¹Ꭹ²-	Do¹gi²-	They and I, we	them (inanimate)	b	Ꮶ¹Ꭹ²-	jo¹gi²-	They and I, our	
	#R8								
									
vta, alt	Ꭱ¹ᏍᏗ²-	E¹sdi²-	You two	him					
vi, vti	ᏍᏗ²-	Sdi²-	You two	it				You two, your	
									
vta, alt	Ꭸ²ᏍᏗ²-	Ge²sdi²-	You two	them (animate)					
vti, de	Ꮥ²ᏍᏗ²-	De²sdi²-	You two	them (inanimate)		Ꮧ̣²ᏍᏗ²-	Dị²sdi²-	You two, your	
	#R9								
									
vta, alt	Ꭱ¹Ꮵ²-	E¹ji²-	You all	him					
vi, vti	Ꭲ¹Ꮵ²-	I¹ji²-	You all	it				You all, your	
									
vta, alt	Ꭸ²Ꮵ²-	Ge²ji²-	You all	them (animate)					
vti, de	Ꮥ³Ꮵ²-	De³ji²-	You all	them (inanimate)		Ꮧ̣²Ꮵ̣²-	Dị²ji²-	You all, your	
	#R10								
vta	Ꭼ²Ꭹ̣²-, Ꭼ²Ꮖ͓-, Ꭼ²Ꭹ²-	Gv²gị²-, Gv²gw-	They	me					
	#	CED CHART SHOWS “geji”, but pg 270 conjugation shows “geja” which matches other documents							
vta	Ꭸ²Ꮳ̣²-, Ꭸ²Ꮳ̣²-, Ꭸ²Ꮳ²-	Ge²jạ²-	They	you one					
vta	Ꭰ¹Ꮒ²-	A¹ni²-	They	him	a				
vi, vti	Ꭰ¹Ꮒ²-	A¹ni²-	They	it	a			Their	
vta	Ꭴ¹Ꮒ²-	U¹ni²-	They	him	b				
vi, vti	Ꭴ¹Ꮒ²-	U¹ni²-	They	it	b			Their	
vta	Ꭸ²Ꭹ̣²Ꮒ²-	Ge²gị²ni²-	They	us, you one and me					
vta	Ꭺ²Ꭹ̣²Ꮒ²-	Go²gị²ni²-	They	us, him and me					
vta	Ꭸ²Ꭹ²-	Ge²gi²-	They	us, you all and me					
vta	Ꭺ²Ꭹ²-	Go²gi²-	They	us, them and me					
vta, alt	Ꭸ²ᏍᏗ²-	Ge²sdi²-	They	you two					
vta, alt	Ꭸ³Ꮵ²-	Ge³ji²-	They	you all					
vta, de	Ꮣ¹Ꮒ²-	Da¹ni²-	They	them (animate)	a	Ꮧ̣²Ꮒ²-	dị²ni²-		
vti, de	Ꮣ¹Ꮒ²-	Da¹ni²-	They	them (inanimate)	a	Ꮧ̣²Ꮒ²-	dị²ni²-	Their	
